id,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,name,rating,number_of_bedrooms,number_of_beds,number_of_baths,suburb,price_class,Longitude,Latitude,geometry,nearby_stops
760361244676712320,90729398,Flexistayz,Melbourne,Private room,58,7,4,2023-06-25,0.5,327,90,4,Home in Carlton,4.5,1,1,7.5,Carlton,cheap,144.97322,-37.79832,POINT (321558.55816668866 5814626.635229322),"""16-Johnston St/Brunswick St (Fitzroy)"", ""13-Johnston St/Nicholson St (Carlton)"", ""14-Rose St/Nicholson St (Fitzroy)"", ""13-Johnston St/Nicholson St (Fitzroy)"", ""12-Moor St/Nicholson St (Fitzroy)"", ""15-Bell St/Brunswick St (Fitzroy)"", ""14-Rose St/Nicholson St (Carlton)"""
49483513,90729398,Flexistayz,Melbourne,Private room,60,7,5,2022-03-20,0.18,327,85,0,Home in Carlton,5.0,1,1,5.5,Carlton,cheap,144.97164,-37.79695,POINT (321416.13768331497 5814775.639657835),"""13-Johnston St/Nicholson St (Carlton)"", ""14-Rose St/Nicholson St (Fitzroy)"", ""13-Johnston St/Nicholson St (Fitzroy)"", ""112-Lygon St/Elgin St (Carlton)"", ""113-Lytton St/Lygon St (Carlton)"", ""14-Rose St/Nicholson St (Carlton)"""
53744240,90729398,Flexistayz,Melbourne,Private room,60,7,10,2023-05-02,0.48,327,79,4,Home in Carlton,4.6,1,1,5.5,Carlton,cheap,144.97106,-37.79704,POINT (321365.28394165786 5814764.54407158),"""13-Johnston St/Nicholson St (Carlton)"", ""14-Rose St/Nicholson St (Fitzroy)"", ""13-Johnston St/Nicholson St (Fitzroy)"", ""112-Lygon St/Elgin St (Carlton)"", ""113-Lytton St/Lygon St (Carlton)"", ""14-Rose St/Nicholson St (Carlton)"""
18346583,90729398,Flexistayz,Melbourne,Private room,58,7,11,2023-04-30,0.2,327,90,8,Home in Carlton,4.45,1,1,5.5,Carlton,cheap,144.97253,-37.79672,POINT (321493.9508654333 5814802.8623867445),"""13-Johnston St/Nicholson St (Carlton)"", ""14-Rose St/Nicholson St (Fitzroy)"", ""13-Johnston St/Nicholson St (Fitzroy)"", ""112-Lygon St/Elgin St (Carlton)"", ""113-Lytton St/Lygon St (Carlton)"", ""14-Rose St/Nicholson St (Carlton)"""
18417054,90729398,Flexistayz,Melbourne,Private room,58,7,5,2023-06-14,0.27,327,90,2,Home in Carlton,3.8,1,1,5.5,Carlton,cheap,144.97306,-37.79672,POINT (321540.618939169 5814803.874758886),"""13-Johnston St/Nicholson St (Fitzroy)"", ""14-Rose St/Nicholson St (Carlton)"", ""13-Johnston St/Nicholson St (Carlton)"", ""14-Rose St/Nicholson St (Fitzroy)"""
18417905,90729398,Flexistayz,Melbourne,Private room,58,7,13,2022-12-29,0.18,327,90,3,Home in Carlton,4.38,1,1,5.5,Carlton,cheap,144.97265,-37.79692,POINT (321504.9986941242 5814780.898489229),"""13-Johnston St/Nicholson St (Carlton)"", ""14-Rose St/Nicholson St (Fitzroy)"", ""13-Johnston St/Nicholson St (Fitzroy)"", ""112-Lygon St/Elgin St (Carlton)"", ""14-Rose St/Nicholson St (Carlton)"""
18418019,90729398,Flexistayz,Melbourne,Private room,58,7,10,2023-05-31,0.17,327,90,2,Home in Carlton,4.7,1,1,5.5,Carlton,cheap,144.9732,-37.79828,POINT (321556.7008739765 5814631.035661889),"""16-Johnston St/Brunswick St (Fitzroy)"", ""13-Johnston St/Nicholson St (Carlton)"", ""14-Rose St/Nicholson St (Fitzroy)"", ""13-Johnston St/Nicholson St (Fitzroy)"", ""12-Moor St/Nicholson St (Fitzroy)"", ""15-Bell St/Brunswick St (Fitzroy)"", ""14-Rose St/Nicholson St (Carlton)"""
42121440,90729398,Flexistayz,Melbourne,Private room,51,7,13,2023-04-03,0.42,327,64,2,Home in Carlton,4.62,1,1,5.5,Carlton,cheap,144.97325,-37.79728,POINT (321558.69673017366 5814742.096840581),"""16-Johnston St/Brunswick St (Fitzroy)"", ""13-Johnston St/Nicholson St (Carlton)"", ""14-Rose St/Nicholson St (Fitzroy)"", ""13-Johnston St/Nicholson St (Fitzroy)"", ""12-Moor St/Nicholson St (Fitzroy)"", ""14-Rose St/Nicholson St (Carlton)"""
1936710,2812963,Medley,Melbourne,Private room,80,3,9,2018-12-01,0.08,5,0,0,Home in Carlton,4.0,1,1,5.0,Carlton,cheap,144.96693,-37.80673,POINT (321025.0224318615 5813681.381126622),"""9-Victoria St/La Trobe St (Melbourne City)"", ""8-Melbourne Central Station/Swanston St (Melbourne City)"", ""4-Queensberry St/Swanston St (Carlton)"", ""6-Swanston St/La Trobe St (Melbourne City)"", ""8-Exhibition St/La Trobe St (Melbourne City)"", ""7-Russell St/La Trobe St (Melbourne City)"", ""9-La Trobe St/Victoria St (Melbourne City)"", ""7-RMIT University/Swanston St (Melbourne City)"""
2171818,2812963,Medley,Melbourne,Private room,80,3,12,2020-01-28,0.1,5,0,0,Rental unit in Parkville,4.75,1,1,5.0,Carlton,cheap,144.96875,-37.8061,POINT (321183.73741047585 5813754.774919198),"""9-Victoria St/La Trobe St (Melbourne City)"", ""11-Melbourne Museum/Nicholson St (Fitzroy)"", ""7-Russell St/La Trobe St (Melbourne City)"", ""8-Exhibition St/La Trobe St (Melbourne City)"", ""10-Nicholson St/Victoria Pde (East Melbourne)"", ""10-Nicholson St/Victoria Pde (Carlton)"", ""9-La Trobe St/Victoria St (Melbourne City)"", ""4-Queensberry St/Swanston St (Carlton)"""
4288651,2812963,Medley,Melbourne,Private room,80,3,4,2019-01-21,0.04,5,0,0,Rental unit in Carlton,4.25,1,1,5.0,Carlton,cheap,144.9689,-37.80545,POINT (321195.3756913006 5813827.189859124),"""9-Victoria St/La Trobe St (Melbourne City)"", ""11-Melbourne Museum/Nicholson St (Fitzroy)"", ""7-Russell St/La Trobe St (Melbourne City)"", ""8-Exhibition St/La Trobe St (Melbourne City)"", ""10-Nicholson St/Victoria Pde (East Melbourne)"", ""10-Nicholson St/Victoria Pde (Carlton)"", ""9-La Trobe St/Victoria St (Melbourne City)"""
571502,2812963,Medley,Melbourne,Private room,80,3,15,2019-02-14,0.13,5,0,0,Home in Carlton,4.47,1,16,5.0,Melbourne,cheap,144.96678,-37.80707,POINT (321012.6373220462 5813643.3653158555),"""9-Victoria St/La Trobe St (Melbourne City)"", ""8-Melbourne Central Station/Swanston St (Melbourne City)"", ""4-Queensberry St/Swanston St (Carlton)"", ""6-Swanston St/La Trobe St (Melbourne City)"", ""8-Exhibition St/La Trobe St (Melbourne City)"", ""7-Russell St/La Trobe St (Melbourne City)"", ""9-La Trobe St/Victoria St (Melbourne City)"", ""7-RMIT University/Swanston St (Melbourne City)"""
18416662,90729398,Flexistayz,Melbourne,Private room,60,7,21,2023-08-18,0.31,327,90,10,Home in Carlton,4.24,1,1,5.0,Carlton,cheap,144.97144,-37.79865,POINT (321402.6221893517 5814586.615665162),"""13-Johnston St/Nicholson St (Fitzroy)"", ""13-Johnston St/Nicholson St (Carlton)"", ""112-Lygon St/Elgin St (Carlton)"", ""12-Moor St/Nicholson St (Fitzroy)"""
