id,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,name,rating,number_of_bedrooms,number_of_beds,number_of_baths,suburb,price_class,Longitude,Latitude
36708679,23869880,Gaurav,Melbourne,Private room,3000,1,4,2020-01-20,0.09,1,83,0,Rental unit in Parkville,5,1,1,1,Parkville,expensive,144.93855,-37.7778
29228505,4924814,Akbar,Melbourne,Entire home/apt,2290,6,39,2020-03-17,0.66,6,0,0,Rental unit in Melbourne,4.79,3,4,2,Melbourne,expensive,144.96154,-37.80719
14919472,29183827,JJ And Rose,Melbourne,Entire home/apt,2057,7,4,2017-03-28,0.05,1,0,0,Rental unit in Southbank,5,4,5,3.5,Southbank,expensive,144.96365,-37.82225
2998252,7063206,Dene,Melbourne,Private room,2000,5,9,2016-09-04,0.1,1,0,0,Rental unit in Melbourne,4.78,1,1,1,Melbourne,expensive,144.95406,-37.81288
41519776,327024003,Mel,Melbourne,Entire home/apt,2000,2,3,2020-06-13,0.07,1,0,0,Condo in Carlton,5,1,2,1,Melbourne,expensive,144.9611,-37.80697
827762602291501440,12197796,Nicole,Melbourne,Entire home/apt,2000,1,20,2023-08-09,3.02,13,81,20,Rental unit in East Melbourne,5,3,6,2,East Melbourne,expensive,144.984821169621,-37.8155531856611
897255252398959360,24559735,Angela,Melbourne,Entire home/apt,2000,1,4,2023-06-29,1.2,10,361,4,Rental unit in Melbourne,5,1,1,1,Melbourne,expensive,144.95656,-37.82212
23486780,162893029,Ed,Melbourne,Entire home/apt,1998,120,5,2018-10-24,0.08,4,0,0,Rental unit in Docklands,4.8,1,2,1,Docklands,expensive,144.94127,-37.81319
23639223,162893029,Ed,Melbourne,Entire home/apt,1998,120,4,2018-07-17,0.06,4,0,0,Rental unit in Carlton,5,2,3,2,Carlton,expensive,144.96186,-37.80615
9396480,12197796,Nicole,Melbourne,Entire home/apt,1957,1,46,2023-05-28,0.54,13,153,11,Rental unit in East Melbourne,4.83,6,16,4,East Melbourne,expensive,144.9845,-37.81617
24502405,185104456,Ivan And Rachel,Melbourne,Entire home/apt,1826,90,62,2020-03-21,0.97,2,173,0,Rental unit in Melbourne,4.74,2,3,1,Melbourne,expensive,144.95494,-37.81638
4192637,21753170,Nicky,Melbourne,Entire home/apt,1800,2,18,2019-07-27,0.17,1,0,0,Townhouse in Fitzroy,4.83,7,16,3,Carlton,expensive,144.97342,-37.80255
42949873,314893462,Citadines On Bourke Melbourne,Melbourne,Entire home/apt,1726,1,33,2022-03-14,0.99,6,0,0,Serviced apartment in Melbourne,4.52,Studio,1,1,Melbourne,expensive,144.97,-37.81341
25785846,193793780,Luke,Melbourne,Entire home/apt,1713,2,45,2023-07-15,0.75,3,118,4,Serviced apartment in Southbank,4.88,4,4,3.5,Southbank,expensive,144.95906,-37.82594
19022320,10190138,Tony,Melbourne,Entire home/apt,1592,1,51,2023-04-30,0.67,66,243,4,Rental unit in Southbank,4.92,3,8,2,Southbank,expensive,144.966842651367,-37.8216209411621
