latitude,longitude,type,info,category,female,male,wheelchair,operator,baby_facil,address,name,geometry,location_id
-37.82210994675337,144.93666205920204,Stainless Steel Drinking Fountain / Leaf Type,Wharfs Landing Park,drinking_fountains,,,,,,,,POINT (144.93666205920204 -37.82210994675337),91
-37.81043106640399,144.95558395492208,Leaf Type / With Bottle Refill Tap,Flagstaff Gardens,drinking_fountains,,,,,,,,POINT (144.95558395492208 -37.81043106640399),109
-37.80089398503696,144.96074870882546,Leaf Type / Dog Bowl ,University Square,drinking_fountains,,,,,,,,POINT (144.96074870882546 -37.80089398503696),46
-37.79841970759794,144.92421993826414,Leaf Type / Dog Bowl ,JJ Holland Park,drinking_fountains,,,,,,,,POINT (144.92421993826414 -37.79841970759794),85
-37.7914165845557,144.96125460876374,Leaf Type / Dog Bowl ,Princes Park,drinking_fountains,,,,,,,,POINT (144.96125460876374 -37.7914165845557),44
-37.79028778877907,144.94509842701018,Leaf Type / Dog Bowl ,Royal Park,drinking_fountains,,,,,,,,POINT (144.94509842701018 -37.79028778877907),121
-37.821103585220605,144.97249534473832,Leaf Type / Dog Bowl ,Alexandra Gardens,drinking_fountains,,,,,,,,POINT (144.97249534473832 -37.821103585220605),7
-37.82435043745128,144.9771113193355,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9771113193355 -37.82435043745128),110
-37.78462350014393,144.96015661193692,Stainless Steel Drinking Fountain / Leaf Type,Princes Park,drinking_fountains,,,,,,,,POINT (144.96015661193692 -37.78462350014393),44
-37.796396827991096,144.97292609129818,Leaf Type / Dog Bowl ,Canning & Palmerston St Reserve,drinking_fountains,,,,,,,,POINT (144.97292609129818 -37.796396827991096),50
-37.82055140792857,144.9731742469266,Leaf Type / With Bottle Refill Tap,Alexandra Gardens,drinking_fountains,,,,,,,,POINT (144.9731742469266 -37.82055140792857),127
-37.796300658626926,144.94502857293458,Leaf Type / Dog Bowl ,Pleasance Gardens,drinking_fountains,,,,,,,,POINT (144.94502857293458 -37.796300658626926),121
-37.80037327256486,144.97278944216202,Leaf Type / With Bottle Refill Tap,Murchison Square,drinking_fountains,,,,,,,,POINT (144.97278944216202 -37.80037327256486),50
-37.82089072956917,144.94692985249003,Stainless Steel Drinking Fountain / Leaf Type,Docklands Park,drinking_fountains,,,,,,,,POINT (144.94692985249003 -37.82089072956917),8
-37.80211398428,144.97283100368065,Leaf Type / With Bottle Refill Tap,Carlton Gardens North,drinking_fountains,,,,,,,,POINT (144.97283100368065 -37.80211398428),37
-37.81536210793982,144.97970486535712,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.97970486535712 -37.81536210793982),116
-37.79431438564634,144.9302959180467,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.9302959180467 -37.79431438564634),76
-37.828673986591355,144.9672264971803,Treated Timber Drinking Fountain / Miles & Dodds Street Reserve,,drinking_fountains,,,,,,,,POINT (144.9672264971803 -37.828673986591355),114
