female,male,wheelchair,operator,baby_facil,latitude,longitude,type,address,category
no,yes,no,City of Melbourne,no,-37.803994634967296,144.95909066756946,Toilet 140,Queensberry Street (Opposite 286 Queensberry Street),toilets
yes,no,no,City of Melbourne,no,-37.813837792176315,144.96309721024045,Toilet 6,Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),toilets
no,yes,no,City of Melbourne,no,-37.80463970714722,144.96285021945613,Toilet 142,Queensberry Street (Adjacent 179 Queensberry Street),toilets
yes,yes,no,City of Melbourne,no,-37.78622124839705,144.95500087587342,Royal Park Brens Pavilion,,toilets
yes,yes,yes,City of Melbourne,no,-37.79373229128235,144.93035186163308,Toilet 177,Bellair Street (Opposite 180 Bellair Street),toilets
yes,yes,yes,City of Melbourne,no,-37.815278082082735,144.97758877995489,Toilet 118,Fitzroy Gardens (2 Lansdowne Street),toilets
yes,yes,yes,City of Melbourne,no,-37.8082334704767,144.96018687493768,Toilet 34,Franklin Street (Opposite 80 Franklin Street),toilets
yes,yes,yes,City of Melbourne,yes,-37.81521576619692,144.96694328510318,Town Hall Melbourne (200 Collins Street),,toilets
yes,yes,yes,City of Melbourne,no,-37.790174410412384,144.94366905096862,Toilet 131,Royal Park (Flemington RdNear North Park Tennis Club),toilets
yes,no,no,City of Melbourne,no,-37.806805767380254,144.96264850030644,Toilet 146,Swanston Street (Opposite 475-511 Swanston Street),toilets
yes,yes,yes,City of Melbourne,no,-37.81940611413847,144.96127683121782,Toilet 3,Flinders Street (399 Flinders Street),toilets
yes,yes,yes,City of Melbourne,no,-37.81859887229392,144.97105956826817,Toilet 48,Birrarung Marr (Opposite Artplay),toilets
yes,yes,yes,City of Melbourne,no,-37.830849124048974,144.97518226820782,Toilet 104,Kings Domain South (off Birdwood Avenue),toilets
yes,yes,yes,City of Melbourne,no,-37.81324543360198,144.96689658968143,Toilet 46,Bourke Street (opposite 225 Bourke Street),toilets
yes,yes,yes,City of Melbourne,yes,-37.82289159858857,144.975280957334,Toilet 109,Kings Domain Myer Music Bowl Rear of,toilets
yes,yes,yes,City of Melbourne,no,-37.795523148389,144.952142962802,Toilet 55,"Royal Park (Nature Play, Opposite 51 Gatehouse Street)",toilets
yes,yes,yes,City of Melbourne,no,-37.8203552728411,144.97331290887433,Toilet 112,Alexandra Gardens (Riverslide Skate Park),toilets
yes,yes,yes,City of Melbourne,no,-37.817903197056154,144.9662642552638,Toilet 41,Flinders Street (No 245 Flinders Street Station),toilets
yes,yes,yes,City of Melbourne,no,-37.79679899805757,144.95196665126468,Toilet 136,Ievers ReserveFlemington Road,toilets
yes,yes,yes,City of Melbourne,no,-37.80891324235132,144.95504018635694,Toilet 154,Flagstaff Gardens (cnr William & Dudley),toilets
