address,latitude,created_date,longitude,organisation,classification,name,category,title,type,website,tree_common_name,tree_scientific_name,date_of_tree_planted,theme,sub_theme,geometry,location_id
"Intersection of Swanston Street and Flinders Lane approximately 22m SW of Melbourne Metro Rail Authority, 214 Flinders Lane, Melbourne, 3000",-37.81642362550678,1993,144.96706152142454,City of Melbourne,Sculpture,Beyond the Ocean of Existence,artworks,,,,,,,,,POINT (144.96706152142454 -37.81642362550678),41
"Malthouse Plaza approximately 33m NW of CitiPower, Electres 4542PR, 75 Dodds Street, Southbank, 3006",-37.82607139191802,1980,144.96773271682704,City of Melbourne,Sculpture,Vault,artworks,,,,,,,,,POINT (144.96773271682704 -37.82607139191802),28
"Gordon Reserve approximately 44m West of Department of Treasury and Finance, 1 Macarthur Street, East Melbourne, 3002",-37.81243425403014,c1870,144.97395547173446,City of Melbourne,Sculpture,Stanford Fountain,artworks,,,,,,,,,POINT (144.97395547173446 -37.81243425403014),18
Buluk Park,-37.820624039208646,2014,144.9409520071531,City of Melbourne,Sculpture,Shadow Trees,artworks,,,,,,,,,POINT (144.9409520071531 -37.820624039208646),130
"Fitzroy Gardens approximately 34m SW of The Pavilion, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",-37.81340997178163,1934,144.98110223857506,City of Melbourne,Sculpture,Fairies Tree,artworks,,,,,,,,,POINT (144.98110223857506 -37.81340997178163),94
University Square,-37.80153947884793,1911,144.96022724856095,City of Melbourne,Memorials,Thomas Ferguson Memorial Drinking Fountain,artworks,,,,,,,,,POINT (144.96022724856095 -37.80153947884793),46
"Fitzroy Gardens approximately 70m East of Toilet Fitzroy Gardens, 2 Lansdowne Street, East Melbourne, 3002",-37.8139538628485,1933,144.97857743610945,City of Melbourne,Sculpture,Statue of Meditation,artworks,,,,,,,,,POINT (144.97857743610945 -37.8139538628485),95
Kings Domain,-37.82530980334813,1995,144.97159425832896,City of Melbourne,Sculpture,Sir Edward ''''''''Weary'''''''' Dunlop,artworks,,,,,,,,,POINT (144.97159425832896 -37.82530980334813),28
"Southbank Promenade approximately 46m East of LwrGround, Southbank Promenade, Southbank, 3006",-37.819968338442905,1992,144.9659517158149,,Sculpture,Ophelia,artworks,,,,,,,,,POINT (144.9659517158149 -37.819968338442905),35
"Russell Street between Little Collins Street and Bourke Street approximately 15m West of Brioche by Philip, Shop 1, Ground, 114 Russell Street, Melbourne, 3000",-37.81369576317149,1996,144.96851299989842,City of Melbourne,Sculpture,Ceremony and Vehicle for Conveying Spirit,artworks,,,,,,,,,POINT (144.96851299989842 -37.81369576317149),21
"Approximately 9m SE of Noel Robinson Architects, 52 River Esplanade, Docklands, 3008",-37.82433720574863,2003,144.94761915571905,VicUrban,Unknown,HeartLand,artworks,,,,,,,,,POINT (144.94761915571905 -37.82433720574863),8
"Cafe L'Incontro approximately 4m East of 134 Swanston Street, Melbourne, 3000",-37.814398382430774,1994,144.9662509187985,City of Melbourne,Sculpture,Time and Tide,artworks,,,,,,,,,POINT (144.9662509187985 -37.814398382430774),99
"Exhibition Building & Melbourne Museum approximately 47m SE of Sacred Heart, 169 Rathdowne Street, Carlton, 3053",-37.80314275282813,2001,144.96987438289304,,Sculpture,Grollo Fountain,artworks,,,,,,,,,POINT (144.96987438289304 -37.80314275282813),37
"Intersection of Bourke Street and Swanston Street approximately 32m West of Boost Juice, 172 Swanston Street, Melbourne, 3000",-37.813685401940035,1993,144.9655744954389,City of Melbourne,Sculpture,"Three Businessmen Who Brought Their Own Lunch: Batman, Swanston & Hoddle",artworks,,,,,,,,,POINT (144.9655744954389 -37.813685401940035),2
"Victoria Point approximately 29m NE of Bendigo And Adelaide Bank, 108 Harbour Esplanade, Docklands, 3008",-37.818010565097374,2005,144.94683073925555,VicUrban,Sculpture,Poise,artworks,,,,,,,,,POINT (144.94683073925555 -37.818010565097374),10
"City Baths approximately 27m North of Poolhouse Coffee, 6 Franklin Street, Melbourne, 3000",-37.80699393814314,1995,144.96305396149538,City of Melbourne,Sculpture,Koorie Mural,artworks,,,,,,,,,POINT (144.96305396149538 -37.80699393814314),61
"Exhibition Building & Melbourne Museum approximately 61m West of Royal Exhibition Building, 9 Nicholson Street, Carlton, 3053",-37.80490093345887,c1880,144.97284986251543,City of Melbourne,Sculpture,French Fountain,artworks,,,,,,,,,POINT (144.97284986251543 -37.80490093345887),40
"Approximately 38m East of Lucas Real Estate (MLJV Pty Ltd), 62 River Esplanade, Docklands, 3008",-37.8249065499163,Various,144.94742694404235,VicUrban,Illustrations,Photo Art Billboard,artworks,,,,,,,,,POINT (144.94742694404235 -37.8249065499163),8
Queen Victoria Gardens,-37.821109293482905,,144.96967311696216,City of Melbourne,Sculpture,Farnex Hercules,artworks,,,,,,,,,POINT (144.96967311696216 -37.821109293482905),28
"Macarthur Square approximately 30m North of 71 Macarthur Place South, Carlton, 3053",-37.798257825618585,1915,144.97056462844986,City of Melbourne,Memorials,William Ievers (Jnr) Memorial Drinking Fountain,artworks,,,,,,,,,POINT (144.97056462844986 -37.798257825618585),50
"Queen Victoria Market approximately 7m West of Joe Leuzzi Flowers, Kiosk, 90 Therry Street, Melbourne, 3000",-37.80745242967464,1994,144.95830671628437,City of Melbourne,Sculpture,Passage,artworks,,,,,,,,,POINT (144.95830671628437 -37.80745242967464),48
"Intersection of Bourke Street and Swanston Street approximately 28m SE of Strandbags, Gnd, Bmt & Lvl 1, 179-183 Swanston Street, Melbourne, 3000",-37.81353704463541,1993,144.9656409310818,City of Melbourne,Sculpture,Weathervanes,artworks,,,,,,,,,POINT (144.9656409310818 -37.81353704463541),1
"Yarra Park approximately 46m South of GRA, 110 Jolimont Road, East Melbourne, 3002",-37.818409101326395,1938,144.9788554339231,City of Melbourne,Memorials,Brunton Drinking Fountain West,artworks,,,,,,,,,POINT (144.9788554339231 -37.818409101326395),96
"Approximately 10m South of 30 Buncle Street, North Melbourne, 3051",-37.7949352206982,1995,144.9403407552676,City of Melbourne,Sculpture,Hotham Hill Seat,artworks,,,,,,,,,POINT (144.9403407552676 -37.7949352206982),76
"Southbank Promenade approximately 55m SE of Sandridge Rail Bridge, Southbank, 3006",-37.82061839181149,2010,144.9631284056871,City of Melbourne,Sculpture,"World Within, World Without (Forgotten Australians)",artworks,,,,,,,,,POINT (144.9631284056871 -37.82061839181149),14
Queen Victoria Gardens,-37.8221241231269,c1970,144.9706619741479,City of Melbourne,Sculpture,Water Children,artworks,,,,,,,,,POINT (144.9706619741479 -37.8221241231269),28
"Fitzroy Gardens approximately 53m South of 1 Eades Street, East Melbourne, 3002",-37.81041672287849,1862,144.98088242316877,City of Melbourne,Sculpture,River God Fountain,artworks,,,,,,,,,POINT (144.98088242316877 -37.81041672287849),94
"Harbour Esplanade between Bourke Street and La Trobe Street approximately 25m West of De Gusto, 768B Bourke Street, Docklands, 3008",-37.81869383024415,2005,144.94685633758888,City of Melbourne,Sculpture,Aurora,artworks,,,,,,,,,POINT (144.94685633758888 -37.81869383024415),10
"The Innovation Building approximately 52m East of NBN, Ground & Lvls 1-2 & 4, 192 Harbour Esplanade, Docklands, 3008",-37.8142734273307,2007,144.94546323616404,,Sculpture,Field of Play,artworks,,,,,,,,,POINT (144.94546323616404 -37.8142734273307),78
"Newquay Promenade approximately 20m NE of All Smiles, 55B Newquay Promenade, Docklands, 3008",-37.81510709421359,2002,144.9415465168603,City of Melbourne,Sculpture,Silence,artworks,,,,,,,,,POINT (144.9415465168603 -37.81510709421359),12
"Gordon Reserve approximately 56m SW of Department of Treasury and Finance, 1 Macarthur Street, East Melbourne, 3002",-37.81272601232133,1887,144.97394249758733,City of Melbourne,Sculpture,General Charles Gordon Memorial,artworks,,,,,,,,,POINT (144.97394249758733 -37.81272601232133),17
Eight Hour Reserve,-37.807154994347236,1900-03,144.96558836214078,City of Melbourne,Sculpture,Eight Hour Day Memorial,artworks,,,,,,,,,POINT (144.96558836214078 -37.807154994347236),61
Queen Victoria Gardens,-37.8224051515098,1912,144.97064348351407,City of Melbourne,Memorials,Children''''s Lake Waterfall,artworks,,,,,,,,,POINT (144.97064348351407 -37.8224051515098),28
"Royal Park approximately 92m NW of 198 The Avenue, Parkville, 3052",-37.78205004489441,1936,144.95696668881737,City of Melbourne,Memorials,Elliot Drinking Fountain,artworks,,,,,,,,,POINT (144.95696668881737 -37.78205004489441),121
"Fitzroy Gardens approximately 54m NE of The Pavilion, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",-37.812809654572156,1873,144.98173585576174,City of Melbourne,Sculpture,Temple of the Winds,artworks,,,,,,,,,POINT (144.98173585576174 -37.812809654572156),94
"Burston Reserve approximately 23m NE of Tram Shelter, 11 Macarthur Street, East Melbourne, 3002",-37.811529640687034,2008,144.97517029157777,City of Melbourne,Sculpture,Great Petition,artworks,,,,,,,,,POINT (144.97517029157777 -37.811529640687034),17
Birrarung Marr,-37.818954244841606,1988,144.97295915208258,National Gallery of Victoria,Sculpture,Angel,artworks,,,,,,,,,POINT (144.97295915208258 -37.818954244841606),127
"Approximately 30m NE of CitiPower, Substation 5, Macpherson Street, Carlton North, 3054",-37.785591277837064,1939,144.96931421689305,City of Melbourne,Memorials,R.J. & F.G.J. Hardy Memorial Drinking Fountain,artworks,,,,,,,,,POINT (144.96931421689305 -37.785591277837064),44
Queen Victoria Gardens,-37.82267180354106,1920,144.97098824977132,City of Melbourne,Sculpture,King Edward VII Memorial,artworks,,,,,,,,,POINT (144.97098824977132 -37.82267180354106),28
"Queensbridge Square approximately 34m South of Signal, Northbank, Flinders Walk, Melbourne, 3000",-37.81980563381243,2007,144.96328536951518,City of Melbourne,Sculpture,Ecophene,artworks,,,,,,,,,POINT (144.96328536951518 -37.81980563381243),14
"Royal Park approximately 59m SW of Clunies Ross Reserve, 8 The Avenue, Parkville, 3052",-37.7891381551832,c1900,144.9570537702451,City of Melbourne,Sculpture,James C Roberts Memorial,artworks,,,,,,,,,POINT (144.9570537702451 -37.7891381551832),121
"Warun Biik Park approximately 39m SW of 34 Derby Street, Kensington, 3031",-37.79627940870039,2012,144.92687427968494,City of Melbourne,Sculpture,Faces,artworks,,,,,,,,,POINT (144.92687427968494 -37.79627940870039),85
"Approximately 84m SW of Melbourne Grammar School, Wadhurst Campus, Melbourne Grammar School, 1 Domain Road, Melbourne, 3004",-37.83339205559024,1903,144.9722466732223,City of Melbourne,Sculpture,Boer War Monument,artworks,,,,,,,,,POINT (144.9722466732223 -37.83339205559024),128
Fitzroy Gardens,-37.811888444469155,1982,144.980015837679,City of Melbourne,Sculpture,The Dolphin Fountain,artworks,,,,,,,,,POINT (144.980015837679 -37.811888444469155),94
"Birrarung Marr approximately 23m North of Toilet Birrarung Marr, Batman Avenue, Melbourne, 3000",-37.81810144655276,2013,144.9717599103583,City of Melbourne,Sculpture,Futurescape,artworks,,,,,,,,,POINT (144.9717599103583 -37.81810144655276),7
"City Square approximately 16m SW of Three Below, Shop 3, 207 Collins Street, Melbourne, 3000",-37.81609978073489,2002,144.96717855091975,City of Melbourne,Sculpture,Warin the Wombat,artworks,,,,,,,,,POINT (144.96717855091975 -37.81609978073489),65
"Federation Square approximately 14m North of Riverland Bar, Vault, 1-9 Princes Walk, Melbourne, 3000",-37.81856096072415,2006,144.96871769443098,Federation Square,Sculpture,Red Centre,artworks,,,,,,,,,POINT (144.96871769443098 -37.81856096072415),5
"V1 Village Docklands approximately 4m South of Colebrook Bosson Saunders, 15 Brentani Way, Docklands, 3008",-37.82149344290819,2006,144.9504373092443,VicUrban,Unknown,The Wave,artworks,,,,,,,,,POINT (144.9504373092443 -37.82149344290819),9
"Elizabeth Street between Therry Street and Victoria Street approximately 14m West of Activia Hair Fashion, 514A Elizabeth Street, Melbourne, 3000",-37.806629217036544,1901,144.95990887514094,City of Melbourne,Memorials,Duke & Duchess of York Memorial [also known as Temperence],artworks,,,,,,,,,POINT (144.95990887514094 -37.806629217036544),82
"Waterview Walk between Bourke Street and Batmans Hill Drive approximately 19m West of Nawab's Palace Dine In, 20 Waterview Walk, Docklands, 3008",-37.819243144249036,2004,144.9472467890078,City of Melbourne,Sculpture,Signature Work,artworks,,,,,,,,,POINT (144.9472467890078 -37.819243144249036),10
Kings Domain,-37.82563931949892,1981,144.9767610755197,City of Melbourne,Memorials,Grotto Waterfall,artworks,,,,,,,,,POINT (144.9767610755197 -37.82563931949892),110
Kings Domain South,-37.82798784492698,1926,144.97369916788776,City of Melbourne,Sculpture,Nurse Edith Cavell Memorial,artworks,,,,,,,,,POINT (144.97369916788776 -37.82798784492698),115
