title,latitude,longitude,category
Coles Fountain,-37.8097706399894,144.973483970263,memorials
World War 1 Memorial,-37.7915502247943,144.958086476511,memorials
"Sir Edward ""Weary"" Dunlop",-37.8253098033481,144.971594258329,memorials
The Travellers,-37.8200793788538,144.962960549385,memorials
Pioneer Women's Memorial,-37.825114779701,144.976076236026,memorials
Sir Thomas Blamey Memorial,-37.8263011012613,144.972818905824,memorials
Personal Islands,-37.8129540652895,144.96526492562,memorials
A History Apparatus - Vessel Craft & Beacon,-37.8130493644912,144.968210954796,memorials
Stanford Fountain,-37.8124342540301,144.973955471734,memorials
Diana and the Hounds,-37.8143067766605,144.978499425414,memorials
Wind Contrivance,-37.8072518916019,144.959230565812,memorials
Grant's Fountain,-37.8074703758618,144.968593327348,memorials
River God Fountain,-37.8104167228785,144.980882423169,memorials
Port Philip Monument,-37.8056957677722,144.907290986476,memorials
John Pascoe Fawkner Memorial,-37.8176770551424,144.959995293311,memorials
Cow Up A Tree,-37.8171223481362,144.945279735113,memorials
Grey Street Fountain,-37.8115435006444,144.982950886232,memorials
Farnex Hercules,-37.8211092934829,144.969673116962,memorials
R.J. & F.G.J. Hardy Memorial Drinking Fountain|Also Know as Hardy Drinking Fountain,-37.7855912778371,144.969314216893,memorials
Pioneer Monument,-37.8108013544726,144.953954525604,memorials
The Phoenix,-37.8221532497782,144.970950646927,memorials
Architectural Fragment,-37.8098275435281,144.964046088207,memorials
Grotto Waterfall,-37.8256393194989,144.97676107552,memorials
Aurora,-37.8186938302442,144.946856337589,memorials
Lie of the Land,-37.8037691686334,144.972134256506,memorials
King George V,-37.8242726781817,144.973213427595,memorials
George Hawkins Ievers Memorial Drinking Fountain,-37.7921729137983,144.958090228013,memorials
Motorcyclist Harold Parsons Memorial,-37.8170400833235,144.98958111418,memorials
Peter Pan,-37.784772976215,144.952364829892,memorials
Railway Viewing Platform,-37.8088169287784,144.943688301286,memorials
Edmund Fitzgibbon Memorial,-37.8236121838048,144.97041853309,memorials
Federation Bells,-37.8186665820053,144.974100198626,memorials
Birrarung Wilam [Common Ground],-37.8185957247729,144.971821698135,memorials
Exhibition Fountain,-37.8054567702426,144.971368327059,memorials
Conservatory Fountain,-37.8138743287314,144.978595508763,memorials
The Echo,-37.8127056758346,144.965153949957,memorials
Koorie Mural,-37.8069939381431,144.963053961495,memorials
Westgarth Drinking Fountain,-37.8050912969792,144.973417331594,memorials
Electric Supply Box D,-37.8135248905976,144.965912867161,memorials
Lynch's Bridge Mosaic Mural,-37.7902053433568,144.923939187972,memorials
Boer War Monument,-37.8333920555902,144.972246673222,memorials
Resting Place,-37.8103721087661,144.964076451277,memorials
City Living,-37.8114750568851,144.953165443927,memorials
Domed Drinking Fountain,-37.8212403900153,144.970769453573,memorials
Fruition,-37.7895848548551,144.943006771705,memorials
Constellation,-37.8202460577394,144.960662531102,memorials
Clayton Reserve Drinking Fountain,-37.7956635547352,144.93893479621,memorials
Within Three Worlds,-37.7788682210743,144.961115185521,memorials
Captain Cook,-37.814579247299,144.979494359613,memorials
Signature Work,-37.819243144249,144.947246789008,memorials
People's Path,-37.8110235138977,144.978389174842,memorials
John Batman Memorial [2],-37.817659776023,144.959772999626,memorials
Model Tudor Village,-37.8132572127115,144.981012344621,memorials
Zoo Paving,-37.782561322013,144.953293930765,memorials
Black Swan Memorial Drinking Fountain,-37.8195705744424,144.971824436445,memorials
Burke & Wills Cairn,-37.7889281178088,144.956058106876,memorials
William Ievers (Jnr) Memorial Drinking Fountain,-37.7982578256186,144.97056462845,memorials
Beyond the Ocean of Existence,-37.8164236255068,144.967061521425,memorials
Ceremony and Vehicle for Conveying Spirit,-37.8136957631715,144.968512999898,memorials
Temple of the Winds,-37.8128096545722,144.981735855762,memorials
Boy on a Turtle,-37.8143892942827,144.979910185425,memorials
Children's Lake Waterfall,-37.8224051515098,144.970643483514,memorials
Widow and Children,-37.8302819071543,144.974339825095,memorials
Dr Louis Smith,-37.8047443091441,144.972452071138,memorials
Sir John Monash,-37.8267733389745,144.972752128938,memorials
Tianjin Garden Chinese Lion Guardians,-37.8112537328974,144.969347694358,memorials
Time and Tide,-37.8143983824308,144.966250918798,memorials
Elliot Drinking Fountain,-37.7820500448944,144.956966688817,memorials
The Pathfinder,-37.8220280877634,144.970355253427,memorials
Argyle Square Piazza,-37.8024440893138,144.965875284609,memorials
