tree_common_name,tree_scientific_name,date_of_tree_planted,latitude,longitude,title,category
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.829281417041294,144.97392578211125,6th field ambulance,plaques
Manchurian Pear,Pyrus ussuriensis,2011-09-06,-37.82846660030073,144.9728488289509,4th division signal company,plaques
Golden Poplar,Populus x canadensis,1998-02-09,-37.83249707841591,144.97462749069217,hmas castlemaine,plaques
Cork Oak,Quercus suber,2012-07-03,-37.831485084303864,144.9745032547264,carry on (victoria),plaques
White Cedar,Melia azedarach,2010-10-20,-37.82787550189755,144.97279547334418,ceylon,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.83038381306261,144.97242800017446,1st aust field hospital,plaques
tba,Cupressus sempervirens Stricta,2000-01-02,-37.83114377811199,144.97450668080737,royal australian navy,plaques
Turkey Oak,Quercus cerris,1998-04-09,-37.83100907053461,144.97582291081636,1939 - 1945 fairmile ships of the royal australian navy,plaques
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.828892667569995,144.97378541866044,mediterranean r.a.a.f.,plaques
English Elm,Ulmus procera,1998-07-09,-37.82900343069038,144.97237262203444,2/43 battalion,plaques
Daimyo Oak,Quercus dentata,1998-04-09,-37.83102768154598,144.9745995026191,royal australian navy 1939 - 1945,plaques
Holm Oak,Quercus ilex,2010-08-30,-37.83122080077399,144.97203945402583,australian sappers,plaques
Japanese Chestnut Oak,Quercus acutissima,2012-07-03,-37.831693778320194,144.97527233354396,h.m.a.s. warrnambool,plaques
English Elm,Ulmus procera,1998-07-09,-37.82736432265406,144.97224934141337,3rd division artillery.,plaques
,,,-37.827281644329084,144.97364974976497,peace tree,plaques
London Plane,Platanus acerifolia,1998-07-09,-37.832166711860516,144.97354893179607,no.4 squadron australian flying corps,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82730813685313,144.9720742083139,13th light horse regiments.,plaques
tba,Olea europaea,1998-04-09,-37.83059672278496,144.97461424222743,australians and greeks,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82851588843667,144.97262342768624,46th battalion,plaques
Cork Oak,Quercus suber,2010-09-10,-37.83199254948672,144.974755478909,'n' class destroyers of the 7th destroyers flotilla,plaques
Argyle Apple,Eucalyptus cinerea,1998-07-09,-37.83152728947547,144.97242135116656,2/14th australian field regiment,plaques
Oak,Quercus coccifera,1998-04-09,-37.831271763213856,144.9742877550359,australian submarine ae2,plaques
Spotted Gum,Corymbia maculata,2012-09-06,-37.82830993024372,144.97322827839452,57th battalion,plaques
Chinese Elm,Ulmus parvifolia,2011-10-06,-37.832421781569224,144.97331027544303,headquaters 3rd division,plaques
Spotted Gum,Corymbia maculata,2000-01-02,-37.8281794371218,144.97191458201368,2/6 australian infantry battalion,plaques
Spotted Gum,Corymbia maculata,2000-01-01,-37.82842086207845,144.97306583876082,23rd battalion,plaques
Moreton Bay Fig,Ficus macrophylla,2014-10-28,-37.83013109907542,144.97431122735125,india r.a.a.f.,plaques
Chinese Liquidambar,Liquidambar formosana,2014-10-02,-37.832516217526646,144.97383865113932,78 squadron raaf,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.832117118242046,144.9746836717465,merchant navy,plaques
UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.83135612849709,144.97433578166624,h.m.a.s vampire,plaques
Grey Poplar,Populus x canescens,1998-08-09,-37.832660644979015,144.97371119131355,hmas mildura,plaques
Lilly Pilly,Syzygium smithii,2000-01-02,-37.83103751930554,144.9746999015222,the royal australian naval nursing service (r.a.n.n.s.),plaques
Pin Oak,Quercus palustris,1998-04-09,-37.831340335754305,144.9741773712386,h.m.a. motor launches 430 and 827,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.83001565222123,144.97182453583466,7th australian division army service corps,plaques
UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.82930957162753,144.97361381216012,3rd light horse field ambulance,plaques
English Elm,Ulmus procera,1998-07-09,-37.828665254692076,144.97293462651294,imperial russian forces,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82736809887927,144.97188260236823,3rd cavalry regiment,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.8285669377496,144.97243229020964,2nd/3rd australian pioneer battaltion,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82984433810733,144.97234244329104,6th division cavalry regiment,plaques
Spotted Gum,Corymbia maculata,2000-01-02,-37.82849170342644,144.97192557389698,australian women's army service,plaques
English Oak,Quercus robur,1998-07-09,-37.82901454029214,144.97329523335668,united kingdom,plaques
Bhutan Cypress,Cupressus torulosa,2015-04-15,-37.83078252475611,144.97428307083808,raaf 49,plaques
,,,-37.82778811617614,144.9738493781532,mayoress (mrs w.j.brens),plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.828639346974704,144.97210002350786,2/21 australian infantry battalion,plaques
Chestnut Oak,Quercus michauxii,1998-04-09,-37.831739379034055,144.9747275202476,h.m.a.s. canberra,plaques
London Plane,Platanus acerifolia,1998-08-09,-37.83238330821724,144.97389182693794,2/4 aust. field regiment royal aust. artillery 7 australian division,plaques
,,,-37.8281083856233,144.97242507338888,21st battalion,plaques
tba,Cupressus sempervirens Stricta,2000-01-02,-37.83114377811199,144.97450668080737,royal australian navy,plaques
Flame Tree,Brachychiton acerifolius,2010-08-30,-37.82901228282192,144.97373999429766,2/2 field company r.a.e. 6th division engineers,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.830548467575355,144.9717955153379,2/3rd australian light anti-aircraft regiment,plaques
Desert Ash,Fraxinus angustifolia,1998-07-09,-37.82909527107172,144.97188666465084,9th australian division cavalry regiment 2/9th australian cavalry commando regiment,plaques
Dawn Redwood,Metasequoia glyptostroboides,1998-07-09,-37.83181247496687,144.97331945057172,10 squadron raaf strike first,plaques
Pohutukawa,Metrosideros excelsa,1998-04-09,-37.831227642688,144.97421658524627,royal new zealand navy,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.8307037938507,144.97204974755397,the corps of the royal australian electrical and mechanical engineers,plaques
Spotted Gum,Corymbia maculata,1998-02-09,-37.82992782441288,144.97399876742824,r.a.a.f. - united kingdom,plaques
English Oak,Quercus robur,2011-10-06,-37.83248119982511,144.9734481783028,r.a.a.f. w.a.a.a.f. training squadrons and support units,plaques
Mahogany Gum,Eucalyptus botryoides,1998-04-09,-37.83135971351849,144.9748060753539,h.m.a.s. hobart,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.83160994325141,144.9750140912037,h.m.a.s. sydney,plaques
Flowering Gum,Corymbia ficifolia,2000-01-02,-37.831478132819775,144.97480635943555,h.m.a.s. australia,plaques
Bogong Gum,Eucalyptus chapmaniana,1998-03-09,-37.83143042424667,144.97531771009426,h.m.a.s ballarat,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83057641458183,144.97262803872255,australian army water transport,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.83196110933539,144.9752276432538,h.m.a.s. geelong,plaques
English Elm,Ulmus procera,1998-07-09,-37.82891758654078,144.97314416193322,8th battalion,plaques
English Elm,Ulmus procera,1998-07-09,-37.82842561268578,144.97220608515528,2/1 australian machine gun battalion,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.827167013867054,144.97201672000386,"imperial camel corps, 5th light horse brigade.",plaques
London Plane,Platanus acerifolia,1998-07-09,-37.83140749181213,144.97302659620308,air training corps,plaques
