Geo Point,Geo Shape,road_segment,location,latitude,asset_id,history,owner_type,description,object_type,art_date,inscription,longitude,company,service_manager,makers,property,classification,title
"-37.81642362550678, 144.96706152142454","{""coordinates"": [144.96706152142454, -37.81642362550678], ""type"": ""Point""}",Intersection of Swanston Street and Flinders Lane,"Intersection of Swanston Street and Flinders Lane approximately 22m SW of Melbourne Metro Rail Authority, 214 Flinders Lane, Melbourne, 3000",144.96706152142454,1087398,,Owned,"A patinated bronze sculpture, Beyond the Ocean of Existence comprises a single large ball surrounded by eight bronze coils. A series of smaller balls and lengths of column, both triangular and circular in cross-section, surmount these coils. At the sculpture's top is a stylised angel. The work is a mounted on a granite plinth of dressed and polished blocks.<br><br>Born in Hobart, Loretta Quinn studied sculpture at the Tasmanian School of Art and the Victorian College of the Arts. The City of Melbourne commissioned Quinn to create Beyond the Ocean of Existence as part of the Swanston Walk redevelopment in 1992; the sculpture was unveiled the following year. The city also commissioned Quinn's Within Three Worlds, located in Princes Park. Beyond the Ocean of Existence demonstrates Quinn's reflective approach, and it is a work replete with religious references. There is a sense of `folk religion' in much of her art, and whether the symbols derive from the mystery of a Latin mass or the animist universe, a Celtic myth or a Japanese garden, she says they are `visual references to which others will relate'.<br><br><br>",Sculpture,1993,,-37.81642362550678,City of Melbourne,Arts & Culture Branch,"Quinn, Loretta",,Sculpture,Beyond the Ocean of Existence
"-37.82607139191802, 144.96773271682704","{""coordinates"": [144.96773271682704, -37.82607139191802], ""type"": ""Point""}",,"Malthouse Plaza approximately 33m NW of CitiPower, Electres 4542PR, 75 Dodds Street, Southbank, 3006",144.96773271682704,1086752,,Owned,"Yellow painted welded plate steel sculpture.<br><br>The unveiling of The Vault in 1980 in the City Square by contemporary artist Ron Robertson-Swann gave rise to one of the biggest art controversies. His work has often divided critics, but none has been as controversial as Vault.<br><br>Dubbed the `Yellow Peril' by Councillor Osborne, the yellow metal sculpture caused a storm of protest over its suitability for City Square. Ironically, it was commissioned for its compatibility with the square's design. The winner of a competition organised by the square's architects, Robertson-Swann's design met the challenge of being a `grand interlocked sculpture'. It also met the requirement of being bold, visually simple and a strong focal point, which would offset the formal character of the square. But while Vault met these objectives, it was a little too abstract for public taste.<br><br>Professor Patrick McCaughey gave his full support to the work, applauding it for design excellence. Recognising McCaughey's reputation in visual arts, council approved the plans. When the sculpture was installed it was yet to be named, and despite Robertson-Swann soon naming it Vault, Yellow Peril, with its racist overtones, has stuck. <br><br>Following its installation in 1980, Councillor Osborne tabled a survey showing Melburnians' lack of support for the sculpture's prominent position, based on the opinion that it was not sympathetic to the nearby historic St Paul's Cathedral and Town Hall. Council resolved to relocate the work, but not before it was scrawled with graffiti and used as a play structure. Despite the artist's objections, in 1981 Vault was moved to Batman Park, where among other things it served as a shelter for the homeless. In 2002, Vault was unveiled at its new home outside ACCA, where most consider it in keeping with the surrounding built environment.",Sculpture,1980,,-37.82607139191802,City of Melbourne,Arts & Culture Branch,"Robertson Swann, Ron <br>",Malthouse Plaza,Sculpture,Vault
"-37.81243425403014, 144.97395547173446","{""coordinates"": [144.97395547173446, -37.81243425403014], ""type"": ""Point""}",,"Gordon Reserve approximately 44m West of Department of Treasury and Finance, 1 Macarthur Street, East Melbourne, 3002",144.97395547173446,1086576,,Owned,"William Stanford's bluestone fountain features a boy on the upper tier, encircled by birds and fish on the lower tier. Water is sprayed from the top and from surrounding ornaments into a large basin. But this scene of innocence was created in a far less naive setting. <br><br>Stanford was apprenticed to a London stonemason before coming to Australia to try his luck on the Bendigo goldfields. When he failed to make his fortune, he turned to horse stealing, and in 1854 was imprisoned for 10 years. He was released after six on ticket-of-leave, but was soon found guilty on two charges of highway robbery and another of horse stealing. The sentences amounted to a total of 22 years, two of which were served as hard labour in irons after Stanford broke out of a supposedly `escape-proof' gaol in 1861. In Melbourne's Pentridge Prison, Stanford's talent for drawing and carving was recognised ' he carved bones left over from stews ' and the prison governor allowed him to turn his hand to carving stone. Local sculptor Charles Summers tutored Stanford, who soon set to carving a fountain from bluestone from the prison quarry, which was the only material available to him. He modelled the fountain's avian adornments on a stuffed eagle-hawk and modelled the boy on the governor's son.   <br><br>The fountain was installed in Carpentaria Place (now known as Gordon Reserve) in 1871, following Stanford's release after he and his friends petitioned for this on the grounds of his ill health. The Illustrated Australian News claimed the fountain was `not only a work of great beauty but ... executed under circumstances of extreme difficulty [which for] most men would have been insurmountable'. Stanford received no payment for the fountain but in time became a respected citizen; he established a business in Windsor, which had a reputation for creating fine headstones. Stanford died in 1880 from `stonemasons' disease', having inhaled a surfeit of fine dust while creating his beautiful fountain.<br>",Fountain,c1870,"STANFORD FOUNTAIN / ERECTED 1871 / THIS FOUNTAIN OF VICTORIAN BASALT WAS DESIGNED, / SCULPTED AND / ERECTED BY WILLIAM STANFORD OF ST KILDA",-37.81243425403014,City of Melbourne,Parks Services Branch,"Stanford, William",Gordon Reserve,Sculpture,Stanford Fountain
"-37.820624039208646, 144.9409520071531","{""coordinates"": [144.9409520071531, -37.820624039208646], ""type"": ""Point""}",,Buluk Park,144.9409520071531,1638170,<br>,Owned,"Shadow Trees is an assemblage construction of painted and fabricated mild steel, with plasma-cut silhouette elements, bolts and structural elements. The work casts shadows within its structure, creating a complexity of imagery in which there is always something new to discover.<br>The form of the tree has a number of resonances with the site; there are imaginative connections to the library and the passing parade of workers and residents in Victoria Harbour. 'The imagery for the Shadow Trees connects the natural world with a cultural world and the everyday ' with ideas and images resonant in the `tree of life', the `tree house' and the `family tree',' explains Smart. The beautiful text by Maria Tumarkin, engraved in the bluestone paving under the tree, reinforces connections to the library.<br><br>The work also nods to Victoria Harbour's past, both pre-colonial, as a place abundant with plant and bird life, and post-colonial, as a working dock. 'The cut-out painted silhouette elements and text are open to interpretation, drawing on references from the site's history, biology, botany, habitation, movement and language,' says Smart.<br>",Sculpture,2014,,-37.820624039208646,City of Melbourne,,"Smart, Sally <br>",Buluk Park,Sculpture,Shadow Trees
"-37.81340997178163, 144.98110223857506","{""coordinates"": [144.98110223857506, -37.81340997178163], ""type"": ""Point""}",,"Fitzroy Gardens approximately 34m SW of The Pavilion, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",144.98110223857506,1086740,,Owned,"Series of carvings on stump of one of the original red gum trees in Fitzroy Gardens - depicting fairies, dwarfs, gnomes, jackass and a variety of Australian animals and birds.<br><br>Born in Bendigo in 1892, Ola Cohn excelled in art from an early age. She studied at Melbourne's Swinburne Technical College before winning a scholarship to study under acclaimed sculptor Henry Moore at London's Royal College of Art. Cohn exhibited widely in Britain and Europe before returning to Australia, where she established a studio in Collins Street in 1931. Cohn's talent and skills were recognised with an OBE, which was awarded to her in 1965 for ''services rendered in the service of art, especially sculpture'.<br><br>In undertaking the Fairies Tree, Cohn was inspired by Ivor Innes' Elfin Oak, located in Kensington Gardens, London. Commencing work on the Fairies Tree in 1931, Cohn spent three years carving the ancient Red Gum. She suffered the discomfort of weather extremes, stings by mosquitos and bees ' which had made the old tree stump their home ' and repeated acts of vandalism on the work. <br><br>Cohn worked in a fittingly organic fashion, using the trunk's natural irregularities to inspire her myriad carvings of Australian and European fairies, dwarfs, gnomes, imps, goblins, elves and animals. Upon completion in May 1934, the tree was gifted to the city's children. Cohn says she carved the tree `mostly for fairies and for those who believe in them'.<br><br>In 1977, the trunk was extracted from the ground for chemical treatment and for the removal of rotten wood. Following treatment, it was mounted on a concrete base in an effort to preserve the work. It continues to get regular conservation treatment.",Sculpture,1934,"THE FAIRIES' TREE / CARVED BY OLA COHN, MBE ARCA / FROM 1931-34 / A GIFT TO THE CHILDREN OF MELBOURNE / FOREWORD FROM HER BOOK 'THE FAIRIES' TREE' / ""I HAVE CARVED IN A TREE IN THE FITZROY GARDENS FOR YOU / AND THE FAIRIES, BUT MOSTLY FOR THE FAIRIES AND THOSE  / WHO BELIEVE IN THEM, FOR THEY WILL UNDERSTAND HOW / NECESSARY IT IS TO HAVE A FAIRY SANCTUARY - A PLACE / THAT IS SACRED AND SAFE AS A HOME SHOULD BE TO / ALL LIVING CREATURES."" / THEREFORE I DEDICATE THIS BOOK TO CHILDREN AND FAIRIES / AS IT IS TO THEM I OWE MY INSPIRATION / OLA COHN / MELBOURNE / 23RD MAY, 1932",-37.81340997178163,City of Melbourne,Arts & Culture Branch,"COHN, Ola",Fitzroy Gardens,Sculpture,Fairies Tree
"-37.80153947884793, 144.96022724856095","{""coordinates"": [144.96022724856095, -37.80153947884793], ""type"": ""Point""}",,University Square,144.96022724856095,1086757,,Owned,"A square granite fountain with four basins on each side, sitting on a bluestone plinth.<br><br>Thomas Ferguson devoted his life to the cause of the Total Abstinence Society. The fountain was initially constructed in the centre of Russell Street opposite the Temperance Hall. It was six metres high and far more elaborate than it is today. With the rise in the use of motorcars, such street ornaments became traffic hazards and in 1947 the fountain was badly damaged when a truck hit it. It was later resurrected in a modified from in its current site.<br>Unveiled 1 July 1911<br>",Drinking Fountain,1911,"IN RECOGNITION OF/FAITHFUL SERVICE RENDERED BY/THOMAS FERGUSON, SECRETARY MELBOURNE TOTAL ABSTINENCE SOCIETY/1868-1904/ERECTED BY THE SOCIETY AND PUBLIC CONTRIBUTIONS",-37.80153947884793,City of Melbourne,Parks Services Branch,Unknown,University Square,Memorials,Thomas Ferguson Memorial Drinking Fountain
"-37.8139538628485, 144.97857743610945","{""coordinates"": [144.97857743610945, -37.8139538628485], ""type"": ""Point""}",,"Fitzroy Gardens approximately 70m East of Toilet Fitzroy Gardens, 2 Lansdowne Street, East Melbourne, 3002",144.97857743610945,1086751,,Owned,"A massive statue of a draped form, representing one woman in meditative introspection.<br><br>In 1933, The Age reported that ""Madame Gaston-Saint, of Orrong road, St Kilda, has offered the City Council a real art in the form of a large marble statue depicting Meditation. This piece is the work of the French sculptor Robert Delandere, and it was exhibited in the Grande Palais, Paris, where it excited favourable comment.""  Madame Gaston-Saint, an Australian who married a wealthy Frenchman, intended that the statue should be erected in memory of her father in Rheole, a small Victorian fruit growing town. Plans were damaged however, and the statue was presented to the Melbourne City Council in 1933. The Lord Mayor, Councillor Gengoult Smith, and the Chairman of the Parks and Gardens Committee, Alderman Stapley, together with other members of the Council accepted the statue from Madame Gaston-Saint in its current position on 24 April, 1933. They thanked her on behalf of the council and the City. Madame Gaston-Saint asked that the statue be offered ""to honour the sorrow of those mothers whose sons fell in the Great War 1914-1918"". Not everyone was happy with the work. Paul Montford, sculptor of the Peter Pan and Adam Lindsay Gordon statues, wrote to the Lord Mayor on 19 April 1933. ""Apparently this marble was carved for a cemetery, 'sorrow' was the subject meant, and it was rightly refused by those who gave the commission to the sculptor,"" he wrote. ""In my opinion its artistic value is far below any other statuary in the Fitzroy Gardens, and it is probably the worst figure in any public place in Melbourne.""<br>",Sculpture,1933,PRESENTED TO THE CITY OF MELBOURNE/BY/MADAME GASTON SAINT/Robert Delandere Paris,-37.8139538628485,City of Melbourne,Arts & Culture Branch,"DELANDRE, Robert",Fitzroy Gardens,Sculpture,Statue of Meditation
"-37.82530980334813, 144.97159425832896","{""coordinates"": [144.97159425832896, -37.82530980334813], ""type"": ""Point""}",,Kings Domain,144.97159425832896,1088238,"Following Dunlop's death in 1993, funds were raised through the Weary Dunlop Statue Appeal. The then Victorian premier, Jeff Kennett, unveiled Peter Corlett's memorial to Weary Dunlop on 15 August 1995. There is a second Weary Dunlop statue located at the Australian War Memorial, Canberra.<br><br>Born in Melbourne in 1944, Peter Corlett studied sculpture at RMIT. He has created several commemorative sculptures, including the Australian War Memorial's Simpson and His Donkey. Winning the commission for a memorial to Edward `Weary' Dunlop, Corlett produced a work that not only commemorated this extraordinary man but paid homage to all medical staff serving prisoners of war in Asia'Pacific during World War Two. The sculpture includes metal spikes that were used in the Burma'Thailand railway.<br>Weary Dunlop trained in Melbourne as a pharmacist before he turned to medicine. He then undertook surgical training in London, where he remained until the outbreak of World War Two. Dunlop joined the Medical Corps of the Australian Army. A surgeon of considerable skill, he served in a senior position in the Middle East and was then transferred to Java. In 1942, his company was captured by Japanese troops and imprisoned first inSingapore and then in Changi, Thailand. His company was sent to work on the Thai segment of the infamous Burma'Thailand railway. A natural organiser and leader, Dunlop led the first Australian prisoners of war who were to work on the line. He was a courageous leader and compassionate doctor, and restored morale in those terrible prison camps and jungle hospitals. He defied his captors, gave hope to the sick and eased the anguish of the dying.<br>After 1945 and with the war behind him, Dunlop turned his energies to healing and to building bridges; he worked towards the health and welfare of former prisoners of war and their families, and towards promoting better relations between Australia and Asia.",Owned,"Large, bronze statue of ''''''''Weary'''''''' Dunlop is fixed to a granite pedestal.  The statue stands above stairs constructed from ironbark railway sleepers and stone. Metal spikes from the Burma Thailand railway are used in the sculpture. On the steps leading to the sculpture are the names of other doctors and medical staff who also cared for POWs.",Memorial,1995,,-37.82530980334813,City of Melbourne,Arts & Culture Branch,"CORLETT, Peter <br>Born Melbourrne 1944",Kings Domain,Sculpture,Sir Edward ''''''''Weary'''''''' Dunlop
"-37.819968338442905, 144.9659517158149","{""coordinates"": [144.9659517158149, -37.819968338442905], ""type"": ""Point""}",Southbank Promenade between Riverside Avenue and Southgate Avenue,"Southbank Promenade approximately 46m East of LwrGround, Southbank Promenade, Southbank, 3006",144.9659517158149,1560970,"NOT OWNED BY COM<br>For nearly 20 years 'Ophelia' had watched over the entrance to Southgate from her courtyard position at BearBrass. As part of Southgate's redevelopment, 'Ophelia' was temporarily taken back to the artist's studio for restoration before being permanently relocated to a prominent riverside location, right out the front of Southgate's main entrance.",Not Owned,"'Ophelia' was named 'the official face of Melbourne' by Tourism Victoria in 1996, and was inspired by the character from Hamlet, full of both love and sadness. Halpern says 'Ophelia' is the cousin of 'Angel', the sculpture that adorned the moat of the National Gallery of Victoria for nearly 20 years and now lives upstream at Birrarung Marr.",Sculpture,1992,,-37.819968338442905,,,Deborah Halpern,Southbank Promenade,Sculpture,Ophelia
"-37.81369576317149, 144.96851299989842","{""coordinates"": [144.96851299989842, -37.81369576317149], ""type"": ""Point""}",Russell Street between Little Collins Street and Bourke Street,"Russell Street between Little Collins Street and Bourke Street approximately 15m West of Brioche by Philip, Shop 1, Ground, 114 Russell Street, Melbourne, 3000",144.96851299989842,1088259,,Owned,"This monumental sculpture by Melbourne artist Maurie Hughes has been designed to take advantage of the movement of traffic and pedestrians. The use of staggered plinths explores the concept of `journey' and the pomp of ceremonial processions. The work also references Chris Reynolds' A History Apparatus, which is located on the same median strip on the corner of Bourke Street. The idea of `spirit' is conveyed symbolically in the flue, through which forces trapped under the earth can be released into the air. This element of the complex sculpture, with its urn, archways and sentinels, is central to the commission.<br><br>Funded by Telstra and the City of Melbourne's Urban & Public Art Program, the sculpture is linked to the redevelopment of Telstra's former Russell Street exchange. The site incorporates the ventilation point for the 6.5 kilometres of decommissioned Telstra tunnels that run beneath Melbourne's CBD and which housed the line network. Hughes' sculptural vent was commissioned with a brief to incorporate the functional and visually meaningful elements of the vent.<br><br>Unveiled Friday 13 September 1996",Sculpture,1996,CEREMONY AND VEHICLE FOR CONVEYING SPIRIT BY MAURIE HUGHES/PRESENTED AS A GIFT TO THE CITY OF MELBOURNE ON 13 SEPTEMBER 1996 BY TELSTRA,-37.81369576317149,City of Melbourne,Arts & Culture Branch,"Hughes, Maurie <br>",,Sculpture,Ceremony and Vehicle for Conveying Spirit
