asset_number,title_of_plaque,description_of_plaque,tree_common_name,tree_scientific_name,date_of_tree_planted,lon,lat,location
1499076,6TH FIELD AMBULANCE,6TH FIELD AMBULANCE,Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.829281417041294,144.97392578211125,"-37.829281417041294, 144.97392578211125"
1499104,4TH DIVISION SIGNAL COMPANY,4TH DIVISION SIGNAL COMPANY,Manchurian Pear,Pyrus ussuriensis,2011-09-06,-37.82846660030073,144.9728488289509,"-37.82846660030073, 144.9728488289509"
1498936,HMAS CASTLEMAINE,"HMAS CASTLEMAINE 1942 - 1945 117,000 MILES OF WAR SERVICE NEW GUINEA NEW BRITAIN PHILIPPINES TIMOR FAR EAST HONG KONG IN MEMORY OF THOSE WHO SERVED IN THIS SHIP LEST WE FORGET",Golden Poplar,Populus x canadensis,1998-02-09,-37.83249707841591,144.97462749069217,"-37.83249707841591, 144.97462749069217"
1498928,CARRY ON (VICTORIA),DEDICATED TO THE FOUNDERS OF CARRY ON (VICTORIA) AND TO ALL PAST MEMBERS WHO WITH THE SUPPORT OF THE PEOPLE OF VICTORIA HAVE CONTINUED THE IDEALS OF CARE FOR EX-SERVICE MEN AND WOMEN AND THEIR FAMILIES LEST WE FORGET THE LIVING,Cork Oak,Quercus suber,2012-07-03,-37.831485084303864,144.9745032547264,"-37.831485084303864, 144.9745032547264"
1499137,CEYLON,MELIA REPRESENTING CEYLON 25.1.1955,White Cedar,Melia azedarach,2010-10-20,-37.82787550189755,144.97279547334418,"-37.82787550189755, 144.97279547334418"
1734451,1st Aust Field Hospital,"1st Aust Field Hospital 1968 - 1971 1st Field Hospital 1972 - 2000 1 Health Support Battalion 2000 - Still serving Raised South Vietnam 1 April 1968 Personnel of this unit have served their country with distinction in Asia, the Middle East, Africa, Europe, the Pacific and at home The Legend of the Vampire Lives On",Stone Pine,Pinus pinea,2010-08-30,-37.83038381306261,144.97242800017446,"-37.83038381306261, 144.97242800017446"
1498970,ROYAL AUSTRALIAN NAVY,ROYAL AUSTRALIAN NAVY 1914 - 1918,tba,Cupressus sempervirens Stricta,2000-01-02,-37.83114377811199,144.97450668080737,"-37.83114377811199, 144.97450668080737"
1498958,1939 - 1945 FAIRMILE SHIPS OF THE ROYAL AUSTRALIAN NAVY,1939 - 1945 FAIRMILE SHIPS OF THE ROYAL AUSTRALIAN NAVY In honour of all who served in Fairmiles Harbour Defence Motor Launches and other small vessels during the Second World War in Australian waters and the South West Pacific Area. Ships known by number but not by name ML 813 was the first of 35 Fairmiles built in Australia.,Turkey Oak,Quercus cerris,1998-04-09,-37.83100907053461,144.97582291081636,"-37.83100907053461, 144.97582291081636"
1499095,MEDITERRANEAN R.A.A.F.,MEDITERRANEAN R.A.A.F.,Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.828892667569995,144.97378541866044,"-37.828892667569995, 144.97378541866044"
1499138,2/43 BATTALION,2/43 BATTALION,English Elm,Ulmus procera,1998-07-09,-37.82900343069038,144.97237262203444,"-37.82900343069038, 144.97237262203444"
