place_id,name,formatted_address,user_ratings_total,rating,geometry.location.lat,geometry.location.lng,price_level,suburb,delivery,dine_in,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup
ChIJa5rRhNZC1moRL8SAEYrRY4I,Tiamo,"303 Lygon St, Carlton VIC 3053, Australia",2600,4.3,-37.7981809,144.9670753,2,Carlton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
ChIJJZA5ACdD1moRxIAdHMr3F4s,Scopri Italian Food and Wine,"191 Nicholson St, Carlton VIC 3053, Australia",806,4.8,-37.7956767,144.9749552,3,Carlton,FALSE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA
ChIJ319l-epD1moRJXzSVfcf1nA,Lagoon Dining,"263 Lygon St, Carlton VIC 3053, Australia",215,4.6,-37.7992952,144.9670943,NA,Carlton,TRUE,TRUE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
ChIJFzRCktZC1moRTHQQmIRcP3M,Criniti's Carlton,"198-204 Faraday St, Carlton VIC 3053, Australia",1863,3.6,-37.7984924,144.9678693,2,Carlton,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
ChIJuRAJYc1C1moRK6JyXa-ismI,Kaprica,"50 Grattan St, Carlton VIC 3053, Australia",710,4.3,-37.8006867,144.9678748,2,Carlton,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
ChIJpXnV3tdC1moRGzDeeGZK3HA,Capitano Carlton,"421 Rathdowne St, Carlton VIC 3053, Australia",755,4.5,-37.7965143,144.9704931,2,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
ChIJg68CAtJC1moRXcO-N195rWY,Thai City Restaurant,"124 Lygon St, Carlton VIC 3053, Australia",258,4.4,-37.804155,144.96665,2,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
ChIJs2_xrtZC1moRD45tnsNnPOs,Copperwood Restaurant,"318 Lygon St, Carlton VIC 3053, Australia",631,3.9,-37.7995994,144.967359,2,Carlton,FALSE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
ChIJT5LLMM5C1moRQpzKBTsbS7Q,Epocha Restaurant,"49 Rathdowne St, Carlton VIC 3053, Australia",700,4.7,-37.8060433,144.9687378,3,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
ChIJG5gufdFC1moR4DDoRmd5L6I,La Spaghettata Restaurant,"238 Lygon St, Carlton VIC 3053, Australia",1157,3.7,-37.8017707,144.9671161,2,Carlton,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
ChIJa2v1BNJC1moR_XGbXwcSoAg,Universal Restaurant,"141 Lygon St, Carlton VIC 3053, Australia",5498,4.4,-37.8038454,144.9661208,1,Carlton,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
ChIJUTD1ldZC1moRIJ1lbzkoFqY,Shakahari,"201-203 Faraday St, Carlton VIC 3053, Australia",393,4.5,-37.798995,144.967807,2,Carlton,NA,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
ChIJNQdjayhD1moRPWST-1oT4uc,The Olive Jar,"168/170 Rathdowne St, Carlton VIC 3053, Australia",333,4.5,-37.7953669,144.9710605,2,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE
ChIJz3qT3ddC1moR0e5yjftslXE,Paris Go Bistro,"116 Rathdowne St, Carlton VIC 3053, Australia",321,4.5,-37.7969462,144.9708724,2,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA
ChIJsZZWVtFC1moRX4Cc8oZA-eY,Il Gambero,"166 Lygon St, Carlton VIC 3053, Australia",1112,4.3,-37.8032876,144.966713,2,Carlton,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
ChIJ9wudbmFD1moRkIc2AvgJYBQ,THAI 29 RESTAURANT (CARLTON),"176 Rathdowne St, Carlton VIC 3053, Australia",70,4.4,-37.795242,144.971161,NA,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
ChIJo332KH9D1moRbva-tqavOIY,Kazuki's Restaurant,"121 Lygon St, Carlton VIC 3053, Australia",180,4.7,-37.8041665,144.9661644,NA,Carlton,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
ChIJF5Nlh9ZC1moRDINfpKG1o1o,Heartattack and Vine,"329 Lygon St, Carlton VIC 3053, Australia",673,4.6,-37.7976457,144.9672841,2,Carlton,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
ChIJYYCx7wND1moRY3QO3Irt8HQ,Al Dente Enoteca Restaurant,"161 Nicholson St, Carlton VIC 3053, Australia",214,4.8,-37.7964126,144.9748731,NA,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,FALSE
ChIJOQgKr9ZC1moRDqq5NwQt43Q,Donnini's,"320 Lygon St, Carlton VIC 3053, Australia",624,4.4,-37.7994889,144.9673139,2,Carlton,NA,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
ChIJoZhs69dC1moRpdaO5bTABe8,Abla's,"109 Elgin St, Carlton VIC 3053, Australia",379,4.4,-37.7977139,144.9710972,2,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA
ChIJK-sJYNFC1moR6pZQ8fWqHKc,Seasons Provedore,"199 Lygon St, Carlton VIC 3053, Australia",785,4.3,-37.800967,144.966654,2,Carlton,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
ChIJWQrHZdFC1moRJf8B9oWuX1Y,Piccolo Mondo,"240 Lygon St, Carlton VIC 3053, Australia",849,4.1,-37.8015526,144.9670786,2,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,FALSE
ChIJ4_Vc6dZC1moRN1hVYbjEiP8,DOC Pizza & Mozzarella Bar - Carlton,"295 Drummond St, Carlton VIC 3053, Australia",2453,4.3,-37.7989852,144.9684548,2,Carlton,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
ChIJUdJn1tNC1moRuPMhbf96oIk,Stuzzichino Restaurant & Bar,"169 Lygon St, Carlton VIC 3053, Australia",256,4.2,-37.8017254,144.9665593,NA,Carlton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
ChIJJb5IAtJC1moRotUKafEC8ao,Da Guido La Pasta,"130 Lygon St, Carlton VIC 3053, Australia",1044,4.5,-37.804024,144.9665786,2,Carlton,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA
ChIJG9I339NC1moRc9yO0aDDCHA,Tabouli,"189 Lygon St, Carlton VIC 3053, Australia",348,4.6,-37.8012945,144.9666236,2,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
ChIJoaITVyVD1moRRc0nZi0ISpg,La Porchetta Carlton North,"392 Rathdowne St, Carlton North VIC 3054, Australia",516,4.1,-37.7882017,144.9722761,2,Carlton,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
ChIJ1ZyRtE1D1moRFf4vU40IRYg,Taquito,"350 Drummond St, Carlton VIC 3053, Australia",349,4.5,-37.7977079,144.9692692,2,Carlton,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA
ChIJl1h079ZC1moRvDBPl2x_L5Y,Carlton Wine Room,"172-174 Faraday St, Carlton VIC 3053, Australia",724,4.7,-37.7986111,144.9686111,3,Carlton,FALSE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA
ChIJDb3e0TZD1moR3n7_vJ9sGyg,Di Stasio Carlton,"224 Faraday St, Carlton VIC 3053, Australia",251,3.4,-37.7984128,144.9668458,NA,Carlton,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
