location_id,cuisine
804873,italian
721640,italian
19595748,chinese
7697908,italian
5043669,italian
17339315,italian
3870070,asian
723925,italian
3534403,european
1510853,italian
944387,italian
728264,asian
8473713,italian
727599,french
738257,australian
722676,italian
2261727,contemporary
7766288,italian
23377841,italian
724284,italian
721444,lebanese
2523617,italian
738181,italian
1227474,italian
3820601,italian
8734314,italian
10448134,lebanese
5106595,italian
17574135,unknown
2285791,european
23812359,italian
727080,italian
726540,steakhouse
13490848,pizza
944409,chinese
722676,italian
722676,italian
722676,italian
13414138,bar
7261839,mexican
6600277,italian
14018863,italian
7910519,egyptian
5106470,asian
258070,unknown
15129320,unknown
756522,italian
722921,italian
725818,italian
11707291,bar
2356152,italian
722676,italian
722676,italian
14987094,japanese
24154540,latin
15610982,middle_eastern
10546658,japanese
2523617,italian
21077027,unknown
20217325,italian
12843860,australian
596243,unknown
24825350,bar
15701699,unknown
18854251,southernitalian
8559717,japanese
6600277,italian
943946,chinese
5287603,unknown
6897516,fast_food
6818713,asian
1227474,italian
14971302,unknown
256557,unknown
4289703,malaysian
5092043,asian
12495639,cafe
4095294,unknown
5868178,unknown
1062448,mediterranean
2720761,healthy
18546450,indian
4845693,asian
19126555,japanese
7706807,italian
391086,french
23384334,asian
12819242,pizza
257676,unknown
6688333,japanese
339794,chinese
12791639,thai
738587,italian
944260,italian
5608783,bar
23030909,french
12618815,cafe
6678468,cafe
20064661,italian
726246,japanese
3542708,pizza
12816034,mediterranean
12368113,indian
10757984,unknown
25196008,fast_food
266090,unknown
5033706,pizza
7100089,unknown
1063351,australian
2666658,unknown
4779860,seafood
12049322,unknown
4472795,cafe
19674794,unknown
5092292,bar
18961271,italian
738584,asian
1111292,italian
727808,european
9554485,asian
10460211,asian
255100,unknown
727840,european
726246,japanese
15550502,cafe
724614,european
1226184,mediterranean
3728263,italian
25561011,unknown
967878,italian
721767,chinese
14799685,bar
5986168,middle_eastern
4035687,european
17555418,indian
7284705,australian
7261839,mexican
12499341,mexican
10906620,italian
728274,chinese
16705747,italian
13307332,wine_bar
255100,unknown
4133683,asian
12917866,bar
24076821,steakhouse
738982,mediterranean
722625,italian
2426495,steakhouse
724861,chinese
721553,italian
14066403,mexican
19826185,unknown
729218,asian
17826452,italian
727851,indian
4457682,asian
12415233,italian
19991275,unknown
14141404,asian
257035,unknown
25353314,asian
255100,unknown
13219722,indian
12059688,unknown
4792273,african
1955162,american
8594044,unknown
1719031,unknown
23276353,unknown
4187386,indian
1869804,international
17734747,cafe
724561,cafe
14838496,unknown
3872475,barbecue
4943431,indian
7112928,bar
19659583,unknown
25531194,unknown
7264551,indian
8126171,chinese
729239,australian
3233266,italian
5286108,asian
3872475,barbecue
15613856,italian
23159871,australian
25249489,italian
255100,unknown
19102663,chinese
5308809,asian
23159877,japanese
23276353,unknown
23381578,australian
26301404,australian
13786389,barbecue
25430133,italian
5812002,chinese
3872475,barbecue
1050531,mediterranean
1858389,international
3611871,barbecue
1077929,italian
5033713,indian
23414221,asian
11306017,fast_food
1548078,italian
4780875,italian
4745095,mexican
2654747,cafe
12519622,asian
728841,bar
4786419,asian
5021774,unknown
2529032,lebanese
2708603,australian
14132082,bar
3389693,cafe
5018804,bar
20831290,pizza
727599,french
6570695,brazilian
725615,cafe
8280071,barbecue
17377806,italian
257037,unknown
3872475,barbecue
944387,italian
4845693,asian
24831835,african
5308687,gastropub
4779472,pizza
20376752,unknown
1227463,bar
727586,unknown
3915938,mexican
8483349,chinese
3872475,barbecue
26361526,japanese
4775374,bar
756537,italian
2654747,cafe
2713169,japanese
16726568,asian
5106612,unknown
2511491,cafe
8861982,fast_food
20831290,pizza
2483527,australian
3872475,barbecue
13113158,indian
8784793,french
14935919,peruvian
11894306,israeli
1388951,french
7602594,japanese
3169695,italian
193123,unknown
7589353,mediterranean
17385148,italian
1018426,italian
1017393,indian
719675,european
2399478,indian
733245,british
2470813,italian
1420213,british
13236559,italian
733579,italian
720981,indian
1016670,indian
19273823,french
23678169,unknown
7314841,european
1010111,european
3456295,italian
23735889,international
246023,unknown
8564086,seafood
19597706,mediterranean
1089239,asian
10079921,filipino
788097,japanese
6624139,italian
1214896,seafood
23436064,italian
3784979,steakhouse
2571962,lebanese
2179762,british
5992727,french
1044445,chinese
10150587,indian
8017474,japanese
1017316,italian
4925323,japanese
23471336,thai
734258,european
2011025,italian
14184416,japanese
188474,unknown
720385,lebanese
1014102,british
2178357,italian
2307482,chinese
10517649,fast_food
187550,unknown
3322305,bar
8855999,unknown
1656751,european
807510,italian
6013062,pizza
15343302,lebanese
2334084,steakhouse
9597889,chinese
4791759,lebanese
1014829,steakhouse
722342,indian
805770,mediterranean
4373160,asian
19140287,mediterranean
12999960,italian
19139921,thai
3396530,asian
4785103,chinese
1014448,italian
8736418,bar
2318629,bar
17615609,japanese
12275529,asian
