location_id,rating,num_reviews,price_level,cuisine
804873,4.0,725,3,Italian
721640,5.0,1045,3,Italian
19595748,4.5,13,4,Chinese
7697908,3.0,374,3,Italian
5043669,4.0,117,3,Italian
17339315,3.5,23,3,Italian
3870070,4.5,72,3,Asian
723925,3.5,304,3,Italian
3534403,4.5,254,4,European
1510853,4.0,529,3,Italian
944387,4.0,362,3,Italian
728264,4.5,221,3,Asian
8473713,4.5,67,3,Italian
727599,4.0,169,3,French
738257,4.0,320,3,Australian
722676,4.5,3240,3,Italian
2261727,4.5,500,4,Contemporary
7766288,4.5,51,3,Italian
23377841,5.0,12,4,Italian
724284,4.5,294,3,Italian
721444,4.0,204,3,Lebanese
2523617,4.5,490,3,Italian
738181,4.5,728,3,Italian
1227474,4.5,669,3,Italian
3820601,4.0,83,3,Italian
8734314,4.5,1077,3,Italian
10448134,4.5,20,3,Lebanese
5106595,3.5,30,3,Italian
17574135,5.0,5,3,Other
2285791,4.5,205,3,European
23812359,3.5,16,3,Italian
727080,4.0,113,4,Italian
726540,4.5,383,3,Steakhouse
13490848,2.5,3,3,Pizza
944409,4.0,48,3,Chinese
13414138,4.0,60,3,Bar
7261839,4.0,309,3,Mexican
6600277,4.5,101,3,Italian
14018863,5.0,7,3,Italian
7910519,4.5,49,3,Egyptian
5106470,4.0,9,1,Asian
258070,4.0,17,3,Other
15129320,4.5,14,1,Other
756522,4.0,463,3,Italian
722921,4.0,227,3,Italian
725818,3.0,189,3,Italian
11707291,4.5,14,3,Bar
2356152,4.0,259,3,Italian
14987094,4.5,11,3,Japanese
24154540,4.5,4,3,Latin
15610982,3.5,25,3,Middle_eastern
10546658,4.5,8,1,Japanese
21077027,4.5,6,3,Other
20217325,5.0,4,3,Italian
12843860,3.5,6,3,Australian
596243,3.5,174,1,Other
24825350,3.0,5,3,Bar
15701699,4.0,2,3,Other
18854251,0.0,0,3,Southernitalian
8559717,4.0,3,3,Japanese
943946,3.5,343,1,Chinese
5287603,3.5,3,3,Other
6897516,4.0,5,3,Fast_food
6818713,3.5,22,1,Asian
14971302,4.5,10,3,Other
256557,4.5,6667,3,Other
4289703,4.0,141,3,Malaysian
5092043,4.0,42,3,Asian
12495639,4.0,16,3,Cafe
4095294,4.5,63,1,Other
5868178,3.5,36,1,Other
1062448,4.5,966,3,Mediterranean
2720761,4.5,410,3,Healthy
18546450,0.0,0,1,Indian
4845693,4.5,45,3,Asian
19126555,4.5,7,3,Japanese
7706807,4.5,1355,3,Italian
391086,4.5,158,4,French
23384334,4.0,5,1,Asian
12819242,4.5,11,3,Pizza
257676,4.0,397,3,Other
6688333,4.0,244,3,Japanese
339794,4.5,380,3,Chinese
12791639,4.5,5,1,Thai
738587,4.5,242,3,Italian
944260,4.5,433,3,Italian
5608783,4.5,121,3,Bar
23030909,3.0,10,4,French
12618815,4.5,35,3,Cafe
6678468,4.0,42,3,Cafe
20064661,4.5,34,3,Italian
726246,4.5,276,3,Japanese
3542708,2.0,89,3,Pizza
12816034,4.0,76,3,Mediterranean
12368113,4.0,27,3,Indian
10757984,4.5,10,3,Other
25196008,3.0,1,3,Fast_food
266090,4.0,2878,3,Other
5033706,3.0,14,1,Pizza
7100089,4.0,169,3,Other
1063351,4.0,116,3,Australian
2666658,4.5,27,3,Other
4779860,4.5,88,3,Seafood
12049322,4.5,9,3,Other
4472795,4.0,665,3,Cafe
19674794,0.0,0,3,Other
5092292,4.0,9,3,Bar
18961271,4.5,17,3,Italian
738584,4.5,1170,3,Asian
1111292,4.0,279,3,Italian
727808,4.5,666,3,European
9554485,4.5,1459,3,Asian
10460211,4.0,47,1,Asian
255100,0.0,0,3,Other
727840,4.0,211,4,European
15550502,4.0,11,1,Cafe
724614,4.0,953,3,European
1226184,4.5,218,3,Mediterranean
3728263,4.0,237,3,Italian
25561011,3.0,2,3,Other
967878,4.5,535,4,Italian
721767,4.5,398,3,Chinese
14799685,3.5,8,3,Bar
5986168,4.5,1020,3,Middle_eastern
4035687,4.5,134,3,European
17555418,4.0,110,3,Indian
7284705,4.0,153,3,Australian
12499341,3.5,104,3,Mexican
10906620,4.5,191,3,Italian
728274,3.5,583,3,Chinese
16705747,3.5,164,4,Italian
13307332,4.0,26,3,Wine_bar
4133683,4.0,39,3,Asian
12917866,4.0,18,3,Bar
24076821,3.0,25,3,Steakhouse
738982,4.5,284,3,Mediterranean
722625,4.0,404,4,Italian
2426495,4.5,706,3,Steakhouse
724861,4.5,1363,4,Chinese
721553,4.5,180,3,Italian
14066403,3.5,11,3,Mexican
19826185,3.0,5,3,Other
729218,4.0,31,3,Asian
17826452,4.5,29,3,Italian
727851,4.0,48,3,Indian
4457682,4.0,32,3,Asian
12415233,4.5,26,3,Italian
19991275,0.0,0,3,Other
14141404,4.5,8,3,Asian
257035,4.5,4485,2,Other
25353314,5.0,1,3,Asian
13219722,3.5,4,3,Indian
12059688,5.0,217,3,Other
4792273,4.5,58,3,African
1955162,4.5,44,3,American
8594044,4.0,167,3,Other
1719031,4.5,5579,3,Other
23276353,4.0,88,2,Other
4187386,3.5,50,1,Indian
1869804,4.0,123,3,International
17734747,5.0,11,1,Cafe
724561,4.0,25,1,Cafe
14838496,3.0,2,3,Other
3872475,4.5,75,3,Barbecue
4943431,4.0,18,3,Indian
7112928,4.0,107,3,Bar
19659583,0.0,0,3,Other
25531194,0.0,0,3,Other
7264551,4.5,78,3,Indian
8126171,4.5,365,1,Chinese
729239,4.0,402,3,Australian
3233266,4.5,317,1,Italian
5286108,3.5,43,1,Asian
15613856,4.5,69,3,Italian
23159871,4.0,26,3,Australian
25249489,5.0,1,3,Italian
19102663,3.5,43,3,Chinese
5308809,4.5,32,1,Asian
23159877,4.0,1,4,Japanese
23381578,5.0,2,3,Australian
26301404,0.0,0,3,Australian
13786389,4.0,36,3,Barbecue
25430133,3.0,1,3,Italian
5812002,4.0,22,1,Chinese
1050531,4.5,1696,4,Mediterranean
1858389,4.5,27,3,International
3611871,4.0,17,3,Barbecue
1077929,4.0,1300,4,Italian
5033713,4.0,12,1,Indian
23414221,4.0,18,3,Asian
11306017,4.0,21,1,Fast_food
1548078,4.5,181,3,Italian
4780875,4.5,47,3,Italian
4745095,4.0,39,3,Mexican
2654747,4.0,108,3,Cafe
12519622,4.5,42,3,Asian
728841,4.0,76,3,Bar
4786419,4.0,51,1,Asian
5021774,3.5,587,1,Other
2529032,4.0,53,3,Lebanese
2708603,4.0,456,3,Australian
14132082,4.0,4,3,Bar
3389693,4.5,35,3,Cafe
5018804,4.0,41,3,Bar
20831290,4.5,2,3,Pizza
6570695,4.5,534,3,Brazilian
725615,4.5,74,3,Cafe
8280071,4.0,36,3,Barbecue
17377806,4.5,3,3,Italian
257037,3.0,553,2,Other
24831835,4.5,3,3,African
5308687,4.5,65,3,Gastropub
4779472,4.0,30,3,Pizza
20376752,3.0,4,1,Other
1227463,3.5,58,3,Bar
727586,3.5,2,3,Other
3915938,3.5,148,1,Mexican
8483349,4.0,302,3,Chinese
26361526,4.0,1,3,Japanese
4775374,4.5,26,3,Bar
756537,4.0,206,3,Italian
2713169,4.5,81,3,Japanese
16726568,4.5,3,3,Asian
5106612,3.0,3,3,Other
2511491,4.5,431,3,Cafe
8861982,4.0,20,1,Fast_food
2483527,3.5,394,3,Australian
13113158,4.5,1226,3,Indian
8784793,4.0,1742,3,French
14935919,4.5,161,3,Peruvian
11894306,4.5,1121,3,Israeli
1388951,4.5,1372,3,French
7602594,3.5,149,3,Japanese
3169695,4.5,759,3,Italian
193123,4.5,4946,4,Other
7589353,4.5,207,3,Mediterranean
17385148,4.5,484,3,Italian
1018426,4.0,320,3,Italian
1017393,4.5,1381,3,Indian
719675,4.5,1406,4,European
2399478,4.0,364,3,Indian
733245,4.5,216,4,British
2470813,4.5,1671,3,Italian
1420213,4.5,829,3,British
13236559,3.5,108,3,Italian
733579,4.5,762,3,Italian
720981,4.5,1403,4,Indian
1016670,4.5,1973,3,Indian
19273823,4.5,77,3,French
23678169,4.0,22,3,Other
7314841,4.5,343,4,European
