location_id,name,place_id
804873,Tiamo,ChIJa5rRhNZC1moRL8SAEYrRY4I
721640,Scopri,ChIJJZA5ACdD1moRxIAdHMr3F4s
19595748,Lagoon Dining,ChIJ319l-epD1moRJXzSVfcf1nA
7697908,Criniti's Carlton,ChIJFzRCktZC1moRTHQQmIRcP3M
5043669,Kaprica,ChIJuRAJYc1C1moRK6JyXa-ismI
17339315,Capitano,ChIJpXnV3tdC1moRGzDeeGZK3HA
3870070,Thai city,ChIJg68CAtJC1moRXcO-N195rWY
723925,Copperwood Restaurant,ChIJs2_xrtZC1moRD45tnsNnPOs
3534403,Epocha,ChIJT5LLMM5C1moRQpzKBTsbS7Q
1510853,La Spaghettata,ChIJG5gufdFC1moR4DDoRmd5L6I
944387,Universal Restaurant,ChIJa2v1BNJC1moR_XGbXwcSoAg
728264,Shakahari Vegetarian Restaurant,ChIJUTD1ldZC1moRIJ1lbzkoFqY
8473713,The Olive Jar,ChIJNQdjayhD1moRPWST-1oT4uc
727599,Paris Go Bistro,ChIJz3qT3ddC1moR0e5yjftslXE
738257,Il Gambero,ChIJsZZWVtFC1moRX4Cc8oZA-eY
722676,Brunetti Classico - Carlton,ChIJ9wudbmFD1moRkIc2AvgJYBQ
2261727,Kazuki's,ChIJo332KH9D1moRbva-tqavOIY
7766288,Heartattack and Vine,ChIJF5Nlh9ZC1moRDINfpKG1o1o
23377841,Al Dente Enoteca,ChIJYYCx7wND1moRY3QO3Irt8HQ
724284,Donnini's Restaurant,ChIJOQgKr9ZC1moRDqq5NwQt43Q
721444,Abla's,ChIJoZhs69dC1moRpdaO5bTABe8
2523617,Seasons Provedore,ChIJK-sJYNFC1moR6pZQ8fWqHKc
738181,Piccolo Mondo,ChIJWQrHZdFC1moRJf8B9oWuX1Y
1227474,DOC Pizza & Mozzarella Bar,ChIJ4_Vc6dZC1moRN1hVYbjEiP8
3820601,Stuzzichino Caffe,ChIJUdJn1tNC1moRuPMhbf96oIk
8734314,Da Guido La Pasta,ChIJJb5IAtJC1moRotUKafEC8ao
10448134,Tabouli,ChIJG9I339NC1moRc9yO0aDDCHA
5106595,La Porchetta Carlton,ChIJoaITVyVD1moRRc0nZi0ISpg
17574135,Taquito,ChIJ1ZyRtE1D1moRFf4vU40IRYg
2285791,Carlton Wine Room,ChIJl1h079ZC1moRvDBPl2x_L5Y
23812359,Di Stasio Pizzaria,ChIJDb3e0TZD1moR3n7_vJ9sGyg
727080,Masani,ChIJ0ZRJ8dZC1moRBEDHtt4HFC8
726540,La Luna Bistro,ChIJq3jpXS9D1moR3RVbdfkIqRs
13490848,Ziyka Restaurant,ChIJoUcXFShD1moRvpVaSBcXB1U
944409,East Imperial,ChIJadVBBddC1moRQ2acccqSVM0
722676,Brunetti Classico - Carlton,ChIJu-vPQ6tD1moRfQ_QZ0chCtM
722676,Brunetti Classico - Carlton,ChIJ1d_oafJD1moRng3uCPMHz64
722676,Brunetti Classico - Carlton,ChIJqxJ64_hD1moRYoENzn74t0I
13414138,Green Man’s Arms,ChIJVwLea9ZC1moR4ktkrL0ASi8
7261839,Fonda Mexican,ChIJk7yyY3FD1moRhHQZ08r9Wnk
6600277,Gemma Simply Italian,ChIJpx6ZRNZC1moR9uwVZGupXkQ
14018863,Mr Pietro,ChIJNS3-SNFC1moRSjpFcOCgHgI
7910519,Leyalina,ChIJWWHZ3tNC1moRJGds6OvI02Y
5106470,Cinnamon's Sri Lankan Cuisine,ChIJ85nTnFBD1moRabBHwOY8Glk
258070,The Night Cat,ChIJn8cnAwlD1moRnS74GMQorVs
15129320,Khabbay Restaurant,ChIJrR356-hD1moR_k3ly1Bt5NY
756522,Papa Gino's Pizza Restaurant,ChIJU0MiVtFC1moR0ITexL30p4g
722921,Cafe Corretto,ChIJCx-TVdFC1moRqlEsKzufEU4
725818,Il Gusto,ChIJzUJtZ9FC1moR29GkS4f4wA4
11707291,Mixity Restaurant & Cafe,ChIJ9ef41tNC1moRt5H3ZbSBYVI
2356152,Cafe Cavallino,ChIJV1uGYtFC1moRuQ74n9--3dY
722676,Brunetti Classico - Carlton,ChIJGZp0PflD1moR7Y-BoLCyVnE
722676,Brunetti Classico - Carlton,ChIJSQrgjtZC1moR-5GNiUfB1N0
14987094,Torissong,ChIJGWoQsM5D1moRAhKHKPD1178
24154540,La Tonada,ChIJ7VH3cIlD1moRqKJMYoMFPOo
15610982,Mint & Co,ChIJs86AXhpD1moRsSunerOUTfw
10546658,Don Tojo,ChIJXTvTy9NC1moResqUQkLditE
2523617,Seasons Provedore,ChIJzw4z39NC1moRnwBBUd7WdHk
21077027,Lord Lygon Wine Shop & Bar,ChIJFwfa3hJD1moRkTwSXl6sqX4
20217325,Aperitivo Bar Ristorante,ChIJH03gTahD1moR2mFxHL_kA24
12843860,Isabella Cafe,ChIJZ1aWcy5d1moRhUqs_665Tdw
596243,Parkville Motel,ChIJp0UPmTFd1moRE-6KpkXJSps
24825350,The Farmacy,ChIJRczf8yVd1moR3A-gbWHjBhE
15701699,Bamboo Garden Noodle Bar & Chinese Takeaway,ChIJ8fL2_dBc1moR8QxN0Izki4g
18854251,The Members Lounge - Bar Bistro-Pizzeria,ChIJeRCeFuhc1moR8POatotWCqc
8559717,Shuji Sushi,ChIJG3Knbi9d1moR6SLoLSqmsig
6600277,Gemma Simply Italian,ChIJS5FePDdD1moRH_Mnz1QKVrU
943946,Shanghai Dumpling House,ChIJ0zWW5CVd1moRqNmEn2r2UCw
5287603,Zambrero,ChIJDWIfTCtd1moR_OiUxJ6Ynm4
6897516,McDonald's,ChIJSyRSDzJd1moRtFTFbd9Sku8
6818713,Roll'd,ChIJnS5Q8o9D1moRv4p5cEph07M
1227474,DOC Pizza & Mozzarella Bar,ChIJ_zwn0mlD1moRR_xGkFunlo8
14971302,Thyme Square Cafe,ChIJ8zj2LyRd1moRRdPE82K0t2U
256557,Melbourne Zoo,ChIJizWRdaBd1moRqldQY0qBOjw
4289703,PappaRich QV,ChIJKZZBzu9D1moRef10MlolYxw
5092043,Lanna Thai Restaurant,ChIJKbx-Pi5d1moRC5HyXzxUfv0
12495639,Parkside Cafe,ChIJkdJo8NJc1moR5PR6uu2mNZM
4095294,Naughtons Hotel,ChIJKcJ5mCtd1moREh7qP6BA6Cg
5868178,Harajuku Crepes,ChIJ9V_NxSxd1moRs6q3RYpM814
1062448,Marco Polo Cafe,ChIJ2cJ6gS9d1moRszBoRpEYDpk
2720761,Choice Health Bar,ChIJoXgvEqNd1moRWtbnD2xI6Ro
18546450,Royal Kebabs Cafe & Restro,ChIJe9LnviVd1moReKaaWGULSjI
4845693,Mum Mum Asian Street Food,ChIJ2290PC5d1moRlh5iYJk-9A0
19126555,Moonfishh,ChIJWT2MP21D1moRSrbBc07fl_E
7706807,Cafe Piccolina,ChIJDb-atVJd1moRDOP2H9AgeUI
391086,Cafe Des Amis,ChIJkQgB4SVd1moRNfEY9tvhwEM
23384334,Gai Wong,ChIJr3YpXIhd1moRI29vA7Z2c7Q
12819242,Eat Pizza Kalgoorlie,ChIJtdVOIi5d1moRvkK585QpJWc
257676,University House,ChIJuUZIPytd1moRjbSpbkrKYXw
6688333,Naruto Japanese Food San Borja,ChIJC6iOT_1d1moRuZDIln4vAb4
339794,Frank Fat's Restaurant,ChIJq6r-syFd1moRMX0EQl1l9l8
12791639,9 Face Thai Cuisine,ChIJOelfMDtd1moRy04aDfyfE0E
738587,Il Duca,ChIJt4ctMupC1moR7Opig3NrfSg
944260,Geppetto Trattoria,ChIJW5Nn5-tC1moR1KnPe_szKQs
5608783,The Tippler & Co,ChIJoQ71_OtC1moREoPyA323sjY
23030909,Hemingway's Wine Bar,ChIJdfMFMHVD1moRte8-aR1ODjg
12618815,Bedggood & Co.,ChIJo6MB88BC1moR1v_Nuo7gZrA
6678468,Grocery Bar East Melbourne,ChIJ_wbFyedC1moRXHca2d3Oj-o
20064661,Roccella,ChIJiWZcQlZD1moReLf1KVvQ98M
726246,Kenzan Japanese Restaurant,ChIJ6ZOWYbdD1moRwHlgVHJwpnU
3542708,Tribeca Pizza,ChIJ_wbFyedC1moRsgKzQvFcTwc
12816034,The Cliveden Bar & Dining,ChIJnUqrC-pC1moRSaUlor_B3vs
12368113,Tadka Hut Indian Restaurant,ChIJk1ga3utC1moR8KOg_D4H8eQ
10757984,The Grey Smith,ChIJP7G3MupC1moRPWpV_902P0s
25196008,Mad Patties - Melbourne East,ChIJg_RW--FD1moRXpWH31SNusE
266090,Federation Square,ChIJExrt7-dC1moRWgvD2gf6J50
5033706,Gourmet Pizza Bar,ChIJVU77zudC1moRUURo26Nfxdg
7100089,Cat Cafe Melbourne,ChIJ3V3EaxhD1moRa_XSCtPX-L0
1063351,Federici Cafe,ChIJNyXg4-tC1moRiLWebsUnJZE
2666658,Gleadell Street Market,ChIJn9E83utC1moRDPGMkcqsEYc
4779860,Kiwi Fish & Chips,ChIJM3SzyedC1moRXNMbBSUFSmg
12049322,My Sushi Japanese Cafe,ChIJzU8DKEJD1moRLSKWrvqdS1M
4472795,Top Paddock,ChIJh7bPuepC1moRL4BHlUrkdfU
19674794,$6 Curries!!,ChIJ8zyV65xD1moRwzkQolEEvlU
5092292,Basement Espresso,ChIJP9wsWMNC1moRokhV5r22oNQ
18961271,Oster,ChIJPZ6d3gND1moR_yn70LCJ74Y
738584,Longrain,ChIJme6hTM9C1moRFG6RpYqZL0c
1111292,Waiters Restaurant - Italian Waiters Club,ChIJR1OrH8ZC1moRixhTkKsUwi8
727808,Punch Lane,ChIJxbZOsshC1moR7thhGoEJ11s
9554485,Hochi Mama,ChIJkX9EushC1moRWQYnsdy3skM
10460211,Soi 38,ChIJLVxVmchC1moRNMtBqzP3H6c
255100,Melbourne,ChIJz9lOndlD1moRyRP7H4fqa84
727840,Radii Restaurant & Bar,ChIJN92GPsRC1moRrpvO-n_3bvw
726246,Kenzan Japanese Restaurant,ChIJAVfi1sdC1moRV7tww9krhXg
15550502,Mr. Tod Cafe,ChIJvVx8L8RC1moRnAO6Zu6Ib-E
724614,The  European,ChIJVUlb_MVC1moRE8udyJ-mVCc
1226184,Anada,ChIJ4e4muN1C1moRG1RzbrdNg50
3728263,Baby Pizza,ChIJq6rG4OtC1moRxQeV_lTSWSA
25561011,Dolly Restaurant,ChIJb0_SCKFD1moRIVNLkTucRPU
967878,Cecconi's Flinders Lane,ChIJ0xwW4cdC1moRe81ERqyUZpk
721767,Bamboo House Chinese Restaurant,ChIJKar4tEpd1moRhETU3oLmvfc
14799685,Jim Stynes Grill,ChIJsY6jDglD1moRObRiccFXerw
