Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry
01/09/2023,0,74,53,377,156,114,219,15,5,0,9,7,27,na,71,122,18,7,138,73,170,172,66,114,38,147,26,41,23,205,19,undefined,na,na,179,50,26,undefined,9,23,0,18,6,113,227,0,209,36,82,7,26,70,43,59,46,0,94,169,na,51,531,162,100,0,91,122,59,4,1,7,2,43,0,4,0,10,7,123,172,2,6,14,26,60,48,37,1
01/09/2023,1,34,21,270,101,67,79,11,8,0,2,0,18,na,38,84,5,6,79,52,75,80,21,48,18,91,19,19,10,120,27,undefined,na,na,90,20,27,undefined,25,18,0,3,0,67,121,0,74,21,74,10,30,45,41,22,23,0,32,108,na,29,255,129,58,0,41,84,25,0,2,2,3,19,0,3,0,4,1,44,80,0,0,3,13,24,13,19,1
01/09/2023,2,32,23,106,48,31,42,4,3,0,0,0,5,na,41,25,9,1,68,42,50,88,14,23,6,69,11,12,15,39,20,undefined,na,na,37,12,4,undefined,13,15,0,5,2,27,73,0,82,13,26,1,20,32,12,20,11,0,58,42,na,10,175,97,71,0,15,25,18,0,9,2,4,13,0,2,0,1,3,32,88,0,4,1,13,10,14,11,0
01/09/2023,3,19,22,124,33,31,24,3,0,0,1,0,4,na,19,28,12,0,45,34,45,52,15,42,18,41,10,23,9,50,5,undefined,na,na,30,23,4,undefined,9,4,0,3,3,47,44,0,54,26,14,6,13,27,5,32,9,0,25,51,na,22,92,52,31,0,20,28,6,0,1,2,1,8,0,0,2,1,2,23,52,0,1,2,3,9,7,8,0
01/09/2023,4,9,9,88,56,44,52,5,0,0,1,0,4,na,35,18,16,3,20,18,41,49,14,38,11,56,9,29,9,50,18,undefined,na,na,40,7,5,undefined,7,7,0,1,3,23,90,0,52,8,38,3,7,13,11,15,8,0,28,33,na,18,100,33,11,0,9,18,8,1,5,1,0,9,0,0,5,0,1,27,49,10,0,0,2,8,6,4,0
01/09/2023,5,15,14,83,55,80,154,18,23,0,16,2,11,na,59,28,56,15,7,37,20,81,57,131,25,62,8,46,34,28,10,undefined,na,na,132,20,4,undefined,39,15,0,2,2,30,163,0,66,20,17,6,23,27,16,5,17,0,101,29,na,40,115,19,19,0,32,28,25,2,6,3,2,30,0,12,5,5,0,67,81,9,3,13,13,70,31,12,0
01/09/2023,6,78,50,191,192,192,344,99,75,0,57,21,63,na,160,81,155,68,29,22,43,276,168,427,133,99,32,127,85,44,10,undefined,na,na,409,40,6,undefined,38,83,0,30,18,70,538,0,156,57,61,18,28,36,79,33,48,0,223,95,na,84,219,74,64,0,93,81,137,12,16,17,12,97,0,43,25,62,5,178,276,44,20,29,44,257,84,53,9
01/09/2023,7,163,77,349,335,336,769,157,148,0,129,11,66,na,238,147,335,185,44,32,96,598,514,1167,216,156,72,253,77,97,62,undefined,na,na,799,138,24,undefined,96,199,0,57,25,153,866,0,235,144,76,63,81,137,189,47,88,0,615,149,na,194,351,92,93,0,202,147,247,77,61,73,37,193,0,47,49,90,25,346,598,102,32,69,81,426,181,109,21
01/09/2023,8,408,272,690,878,932,1830,255,261,0,256,36,178,na,474,478,971,739,100,83,210,1304,797,1883,438,394,147,618,143,199,111,undefined,na,na,1671,331,62,undefined,242,497,0,294,86,451,1972,0,679,247,147,98,126,353,459,326,177,0,1419,405,na,359,799,135,252,0,633,478,541,215,166,151,77,696,0,95,150,280,89,883,1304,195,46,167,288,1683,710,275,45
01/09/2023,9,706,428,899,1185,928,1156,199,260,0,138,45,167,na,365,586,650,566,159,118,288,1141,541,1261,379,479,124,697,205,188,119,undefined,na,na,1253,296,91,undefined,237,360,0,369,102,520,2050,0,827,281,210,178,168,373,698,231,198,0,907,593,na,471,853,181,318,0,541,586,696,274,293,150,36,466,0,77,144,173,65,701,1141,186,66,140,280,1092,517,250,18
