,STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry_x,location_id,Sensor Name,sensor_latitude,sensor_longitude,sensor_geometry,Hour,Value
0,18557,-37.75874,37-Albion St/Melville Rd (Brunswick West),144.944771,1,58,POINT (318957.0358169353 5818963.947757163),,,,,,,
1,18558,-37.756764,38-Jacobs Reserve/Melville Rd (Brunswick West),144.945154,1,58,POINT (318985.9630887032 5819183.961587512),,,,,,,
2,18559,-37.754779,39-McGregor Ave/Melville Rd (Brunswick West),144.94555,1,58,POINT (319016.01233657403 5819404.998949848),,,,,,,
3,18560,-37.753429,40-Moreland Rd/Melville Rd (Brunswick West),144.945655,1,58,POINT (319021.95221775654 5819555.0050180685),,,,,,,
4,18561,-37.749512,41-Woodlands Ave/Melville Rd (Pascoe Vale South),144.946354,1,58,POINT (319074.0065708135 5819991.006796727),,,,,,,
5,18562,-37.746611,42-Reynard St/Melville Rd (Pascoe Vale South),144.944334,1,58,POINT (318888.95621776744 5820309.004921002),,,,,,,
6,18563,-37.744122,43-Princes Tce/Melville Rd (Pascoe Vale South),144.944767,1,58,POINT (318921.0491849322 5820586.040440644),,,,,,,
7,18564,-37.741966,44-Brearley Pde/Melville Rd (Pascoe Vale South),144.945133,1,58,POINT (318948.0245957655 5820825.98395059),,,,,,,
8,1292,-37.731619,38-Renown St/Sydney Rd (Coburg),144.964266,1,19,POINT (320609.03773196036 5822010.995851684),,,,,,,
9,16713,-37.741471,34-Bell St/Sydney Rd (Coburg),144.96647,1,19,POINT (320827.02672146895 5820921.989852161),,,,,,,
10,16714,-37.743259,33-Coburg Market/Sydney Rd (Coburg),144.966148,1,19,POINT (320802.9475354041 5820722.9741551615),,,,,,,
11,16715,-37.745065,32-Munro St/Sydney Rd (Coburg),144.965838,1,19,POINT (320779.99206534505 5820521.974382749),,,,,,,
