X,Y,METLINKSTO,STATIONNAM,STATIONTYP,ZONES,STOPMODENA
294809.7694,5850999.6378,20337,Riddells Creek, ,"2,3,Reg",V/Line Train
293524.1556,5973399.726,20338,Rochester, ,Reg,V/Line Train
481335.8797,5776810.0739,20339,Rosedale, ,"14,Reg",V/Line Train
504804.7251,5782743.7476,20341,Sale, ,Reg,V/Line Train
334348.3818,5900763.4211,20342,Seymour, ,"6,7,Reg",V/Line Train
357075.2329,5972302.5615,20343,Shepparton, ,Reg,V/Line Train
268607.0002,5773284.8483,20344,South Geelong, ,"4,Reg",V/Line Train
452382.3645,5995302.936,20345,Springhurst, ,Reg,V/Line Train
507155.8728,5797838.0439,20346,Stratford, ,Reg,V/Line Train
187553.3429,6083702.0757,20347,Swan Hill, ,Reg,V/Line Train
331408.4135,5893201.2904,20348,Tallarook, ,"5,6,Reg",V/Line Train
142120.5585,5760065.6454,20349,Terang, ,Reg,V/Line Train
425999.7477,5770853.3637,20350,Trafalgar, ,"8,9,Reg",V/Line Train
459537.167,5772016.5502,20351,Traralgon, ,"12,13,Reg",V/Line Train
379698.7067,5783866.2463,20352,Tynong, ,"3,4,Reg",V/Line Train
385207.2295,5944425.8989,20353,Violet Town, ,"13,14,Reg",V/Line Train
325207.8696,5863954.1193,20355,Wandong, ,2,V/Line Train
438723.2287,5976447.8789,20356,Wangaratta, ,Reg,V/Line Train
406537.4197,5775314.6916,20357,Warragul, ,"6,7,Reg",V/Line Train
104756.1772,5741763.8928,20358,Warrnambool, ,Reg,V/Line Train
236052.2646,5763239.238,20359,Winchelsea, ,"8,Reg",V/Line Train
488413.1193,6004305.7895,20360,Wodonga, ,Reg,V/Line Train
280884.2676,5862451.5179,20361,Woodend, ,"4,5,Reg",V/Line Train
417966.1902,5771229.2834,20362,Yarragon, ,"8,Reg",V/Line Train
533586.9417,6113525.001,20603,Wagga Wagga, ,Reg,V/Line Train
594424.2679,6166180.639,20604,Cootamundra, ,Reg,V/Line Train
748912.9179,6150356.3791,20605,Goulburn, ,Reg,V/Line Train
889100.5356,6242468.7157,20606,Central, ,Reg,V/Line Train
878669.3902,6244372.4825,20622,Strathfield, ,Reg,V/Line Train
851954.5604,6224008.998,20623,Campbelltown, ,Reg,V/Line Train
809416.7206,6171907.0502,20624,Moss Vale, ,Reg,V/Line Train
675184.9603,6146471.1024,20625,Yass Junction, ,Reg,V/Line Train
625836.989,6175606.0457,20626,Harden, ,Reg,V/Line Train
510794.9183,6096817.0874,20635,The Rock, ,Reg,V/Line Train
553339.4281,6141155.871,20636,Junee, ,Reg,V/Line Train
503201.9453,6069550.0402,20637,Henty, ,Reg,V/Line Train
503450.9943,6053084.0144,20638,Culcairn, ,Reg,V/Line Train
319685.7963,5812408.3761,22180,Southern Cross,Premium,1,Train
321056.331,5812396.5782,22238,Flinders Street, ,"1,Reg",V/Line Train
318785.9827,5813679.0924,22239,North Melbourne, ,"1,Reg",V/Line Train
315297.2505,5814145.3869,22240,Footscray, ,"1,Reg",V/Line Train
309176.2479,5815434.9317,22241,Sunshine, ,"1,2,Reg",V/Line Train
307087.8374,5818777.2934,22242,Ginifer, ,"2,Reg",V/Line Train
306170.9568,5820214.1448,22243,St Albans, ,"2,Reg",V/Line Train
303776.487,5825013.0915,22244,Watergardens, ,"2,Reg",V/Line Train
323111.6147,5811801.4864,22247,Richmond, ,"1,Reg",V/Line Train
327844.5807,5805974.9315,22248,Caulfield, ,"1,Reg",V/Line Train
334811.7057,5800875.9444,22249,Clayton, ,"2,Reg",V/Line Train
342791.2313,5793785.9952,22250,Dandenong, ,"2,Reg",V/Line Train
354833.4693,5788409.801,22251,Berwick, ,"2,Reg",V/Line Train
367249.1969,5784159.4281,22252,Pakenham, ,"2,Reg",V/Line Train
316433.216,5819211.1931,22253,Essendon, ,"1,Reg",V/Line Train
316553.7182,5827313.9122,22254,Broadmeadows, ,"2,Reg",V/Line Train
110445.5851,5741888.3985,22257,Sherwood Park, ,Reg,V/Line Train
317837.2971,5832317.8075,40220,Roxburgh Park,Unmanned,2,Train
318447.4043,5836374.4423,40221,Craigieburn,Premium,2,Train
219036.5,5840499.3286,43469,Wendouree, ,"8,Reg",V/Line Train
317067.7698,5829773.165,44817,Coolaroo,Unmanned,2,Train
224628.853,5853476.0388,44951,Creswick, ,"9,Reg",V/Line Train
214737.7798,5866639.747,44952,Clunes, ,"11,12,Reg",V/Line Train
210301.7165,5894514.6005,44953,Maryborough, ,"14,Reg",V/Line Train
706946.8301,6149061.494,45792,Gunning, ,Reg,V/Line Train
346405.4367,5786375.5839,45793,Lynbrook,Unmanned,2,Train
362971.2579,5785123.2787,45794,Cardinia Road,Unmanned,2,Train
329477.497,5831352.7657,45795,South Morang,Premium,2,Train
301870.1198,5806231.7063,46468,Williams Landing,Premium,2,Train
207501.536,5880862.6764,47482,Talbot, ,Reg,V/Line Train
264220.0381,5766810.4981,47641,Waurn Ponds, ,"4,Reg",V/Line Train
260697.6882,5934357.8342,47642,Epsom, ,"13,Reg",V/Line Train
289650.4361,5805714.8813,47647,Wyndham Vale, ,"2,Reg",V/Line Train
297128.1446,5810301.9071,47648,Tarneit, ,"2,Reg",V/Line Train
300765.1223,5817609.9627,52011,Caroline Springs, ,"2,Reg",V/Line Train
315752.2836,5815733.331,20027,Flemington Racecourse,Unmanned,1,Train
316330.1047,5816159.6913,20028,Showgrounds,Unmanned,1,Train
299316.1104,5838455.8885,15351,Sunbury,Premium,2,Train
298791.5985,5833122.3806,15353,Diggers Rest, ,2,Train
323490.4175,5857015.1202,17204,Wallan, ,2,V/Line Train
344673.4039,5751164.6234,19827,Stony Point,Unmanned,2,Train
343101.3141,5752035.3817,19828,Crib Point,Unmanned,2,Train
341813.3106,5753351.8216,19829,Morradoo,Unmanned,2,Train
340764.9532,5755179.0347,19830,Bittern,Unmanned,2,Train
341390.9261,5758713.8352,19831,Hastings,Unmanned,2,Train
341328.1173,5763801.7809,19832,Tyabb,Unmanned,2,Train
340364.0926,5767610.1084,19833,Somerville,Unmanned,2,Train
338918.9135,5771055.5607,19834,Baxter,Unmanned,2,Train
329183.8275,5808018.2648,19835,Glen Iris,Unmanned,1,Train
336987.0953,5775680.7798,19836,Leawarra,Unmanned,2,Train
329621.5735,5806956.085,19837,Darling,Premium,"1,2",Train
330207.3516,5806083.0092,19838,East Malvern,Premium,"1,2",Train
332071.555,5806402.1264,19839,Holmesglen,Host,"1,2",Train
333954.8884,5806529.4856,19840,Jordanville,Unmanned,2,Train
320044.925,5813077.3656,19841,Flagstaff,Premium,1,Train
320651.4744,5813317.3176,19842,Melbourne Central,Premium,1,Train
321561.6575,5813212.8878,19843,Parliament,Premium,1,Train
355415.9691,5802995.3433,19844,Belgrave,Premium,2,Train
354333.3839,5803085.2829,19845,Tecoma,Unmanned,2,Train
353299.1467,5803557.8886,19846,Upwey,Unmanned,2,Train
